Species,Mass Arrival Date,Peak Date,Peak Over Date
Northern Hawk Owl,03-07,03-07,03-07
Northern Cardinal,03-28,04-07,04-17
Northern Flicker,04-05,04-30,10-05
American Goshawk,03-14,03-14,03-14
Northern Harrier,03-19,04-14,06-09
Northern Mockingbird,04-25,05-14,05-27
Northern Parula,04-30,05-21,07-30
Northern Pintail,03-28,04-21,05-07
Northern Shoveler,04-08,05-07,06-10
Northern Shrike,03-06,03-07,03-09
Northern Waterthrush,04-25,05-21,07-21
Northern Rough-winged Swallow,05-01,05-21,06-03
Nelson's Sparrow,05-22,05-31,06-06
Northern Saw-whet Owl,03-22,04-07,04-30
Olive-sided Flycatcher,05-11,05-21,08-21
Orchard Oriole,05-08,05-14,05-29
Orange-crowned Warbler,04-30,05-14,05-28
Osprey,04-06,04-21,09-17
Ovenbird,05-01,05-31,07-20
Palm Warbler,04-20,05-07,05-20
Pectoral Sandpiper,05-01,05-07,05-19
Peregrine Falcon,03-12,03-14,03-16
Philadelphia Vireo,05-10,05-21,09-23
Pied-billed Grebe,04-10,04-30,05-11
Pileated Woodpecker,03-06,04-30,06-17
Pine Grosbeak,02-28,02-28,02-28
Pine Siskin,02-17,02-28,03-08
Pine Warbler,04-18,05-31,09-26
Purple Finch,03-05,03-07,03-08
Red-breasted Merganser,05-10,05-21,05-28
Red-breasted Nuthatch,02-24,03-07,03-12
Red-bellied Woodpecker,04-14,04-14,04-14
Red Crossbill,02-28,02-28,02-28
Redhead,04-14,05-14,06-05
Red Knot,05-15,05-21,05-30
Redpoll,02-21,02-28,03-02
Red-eyed Vireo,05-10,05-31,09-09
Red-necked Grebe,04-14,04-30,05-07
Red-necked Phalarope,05-01,05-21,06-06
Red-shouldered Hawk,05-09,05-21,05-30
Red-tailed Hawk,03-17,03-31,05-04
Red-throated Loon,05-22,05-31,06-06
Red-winged Blackbird,03-06,05-07,08-08
Ring-billed Gull,03-18,04-21,11-29
Ring-necked Duck,03-31,04-21,06-12
Ring-necked Pheasant,03-25,03-31,04-07
Rose-breasted Grosbeak,05-01,05-14,09-09
Rock Pigeon,03-15,03-21,03-27
Rough-legged Hawk,03-14,03-21,04-25
Ruby-throated Hummingbird,05-02,05-21,09-13
Ruby-crowned Kinglet,04-09,04-30,07-05
Ruddy Duck,04-17,05-07,05-20
Ruddy Turnstone,05-15,05-21,06-06
Ruffed Grouse,04-17,04-30,06-09
Rusty Blackbird,03-30,04-21,05-17
Sandhill Crane,03-21,04-07,06-21
Savannah Sparrow,04-14,05-14,10-12
Scarlet Tanager,05-07,05-31,07-23
Scissor-tailed Flycatcher,05-08,05-14,05-20
Sedge Wren,05-15,05-21,06-28
Semipalmated Plover,05-07,05-21,06-06
Semipalmated Sandpiper,05-14,05-31,06-08
Short-billed Dowitcher,05-03,05-14,05-21
Short-eared Owl,04-15,04-21,04-29
Sharp-shinned Hawk,04-01,04-21,06-14
Snow Bunting,03-19,03-31,04-08
Snow Goose,04-22,04-30,05-13
Snowy Owl,03-07,03-07,03-07
Solitary Sandpiper,04-27,05-14,05-21
Song Sparrow,03-24,04-30,10-18
Sora,04-29,05-21,05-31
Spotted Sandpiper,04-30,05-21,06-21
Spruce Grouse,04-14,04-14,04-14
