Species,Mass Arrival Date,Peak Date,Peak Over Date
Northern Shrike,03-07,03-07,03-07
Northern Waterthrush,04-20,04-30,07-31
Northern Rough-winged Swallow,04-14,05-21,07-18
Northern Saw-whet Owl,04-01,04-07,04-20
Olive-sided Flycatcher,05-17,05-31,06-10
Orange-crowned Warbler,04-26,05-14,05-24
Osprey,03-25,04-21,09-26
Ovenbird,04-26,05-31,07-19
Palm Warbler,04-16,04-30,05-19
Pectoral Sandpiper,05-10,05-21,05-30
Peregrine Falcon,03-19,05-14,05-26
Philadelphia Vireo,05-08,05-21,06-04
Pied-billed Grebe,03-09,05-14,11-12
Pileated Woodpecker,04-03,04-30,05-04
Pine Grosbeak,02-28,02-28,02-28
Pine Siskin,02-14,02-28,03-03
Pine Warbler,04-08,05-14,08-01
Prairie Warbler,05-08,05-14,05-20
Purple Finch,03-31,04-30,07-29
Purple Martin,04-14,05-14,06-21
Red-breasted Merganser,03-05,03-31,04-07
Red-breasted Nuthatch,04-30,04-30,04-30
Red-bellied Woodpecker,05-07,05-07,05-07
Red Crossbill,03-14,03-14,03-14
Redhead,03-14,04-07,04-19
Redpoll,02-28,02-28,02-28
Red-eyed Vireo,05-07,05-31,09-10
Red-headed Woodpecker,04-01,04-07,04-13
Red-necked Grebe,03-03,03-14,03-21
Red-shouldered Hawk,03-08,05-21,10-18
Red-tailed Hawk,03-23,03-31,04-10
Red-winged Blackbird,02-28,04-30,10-29
Ring-billed Gull,03-01,03-31,05-06
Ring-necked Duck,03-08,03-21,05-05
Ring-necked Pheasant,03-20,03-21,03-22
Rose-breasted Grosbeak,04-24,05-14,09-17
Rock Pigeon,03-07,03-07,03-07
Rough-legged Hawk,03-07,03-07,03-07
Ross's Goose,03-14,03-21,03-30
Ruby-throated Hummingbird,04-29,05-14,09-14
Ruby-crowned Kinglet,04-09,04-21,05-12
Ruddy Duck,03-17,03-31,04-11
Ruffed Grouse,03-30,04-30,05-31
Rusty Blackbird,03-29,04-30,05-09
Sandhill Crane,03-10,03-31,06-25
Savannah Sparrow,04-04,04-21,10-16
Scarlet Tanager,05-01,05-21,09-17
Sedge Wren,05-14,05-31,08-14
Semipalmated Plover,05-14,05-21,06-02
Semipalmated Sandpiper,05-15,05-21,06-11
Short-billed Dowitcher,05-19,05-31,06-06
Short-eared Owl,02-28,02-28,02-28
Sharp-shinned Hawk,05-02,05-07,05-09
Snow Bunting,02-28,02-28,02-28
Snow Goose,03-11,03-21,03-30
Snowy Owl,04-07,04-07,04-07
Solitary Sandpiper,04-25,05-14,05-21
Song Sparrow,03-13,04-21,10-22
Sora,04-25,05-21,08-27
Spotted Sandpiper,04-21,05-14,09-30
Swamp Sparrow,04-05,04-30,10-14
Swainson's Thrush,05-07,05-14,06-03
Tennessee Warbler,05-05,05-14,05-28
Townsend's Solitaire,02-28,02-28,02-28
Tree Swallow,03-27,04-30,08-14
Trumpeter Swan,02-18,02-28,03-14
Tufted Titmouse,03-18,03-21,03-25
Tundra Swan,02-27,02-28,03-01
Turkey Vulture,03-11,04-14,10-21
Upland Sandpiper,04-15,04-30,07-19
Varied Thrush,02-28,02-28,02-28
Veery,05-06,05-31,07-31
Vesper Sparrow,04-08,04-21,08-03
Virginia Rail,04-08,05-21,09-19
Warbling Vireo,04-30,05-21,08-01
Western Meadowlark,03-22,03-31,04-06
White-breasted Nuthatch,02-28,02-28,02-28
White-crowned Sparrow,04-23,05-07,05-20
White-rumped Sandpiper,05-09,05-21,05-30
White-throated Sparrow,04-12,04-30,07-23
White-winged Crossbill,02-28,02-28,02-28
White-winged Scoter,02-22,03-07,03-13
Willow Flycatcher,05-10,05-21,07-31
Wilson's Phalarope,05-22,05-31,06-06
Wilson's Snipe,03-30,04-21,07-13
Wild Turkey,04-04,04-21,05-19
Winter Wren,03-27,04-30,08-03
Wilson's Warbler,05-04,05-21,05-30
Wood Duck,03-15,04-14,10-31
Wood Thrush,04-30,05-14,08-01
American Coot,04-01,04-14,04-28
Yellow-billed Cuckoo,05-09,05-21,08-25
Yellow-bellied Flycatcher,05-04,05-21,05-30
Yellow-bellied Sapsucker,04-01,04-21,10-02
Yellow Warbler,04-26,05-14,08-13
Yellow-rumped Warbler,04-15,04-30,05-30
Yellow-throated Vireo,04-30,05-14,09-13
