Species,Mass Arrival Date,Peak Date,Peak Over Date
Mourning Dove,03-16,04-30,05-27
Mourning Warbler,05-04,05-21,06-12
Muscovy Duck,03-15,03-21,03-30
Mute Swan,03-05,03-21,03-29
Nashville Warbler,04-23,05-07,06-10
Neotropic Cormorant,04-08,04-14,04-20
Northern Hawk Owl,02-28,02-28,02-28
Northern Cardinal,04-02,04-30,05-18
Northern Flicker,03-31,04-30,10-14
American Goshawk,02-23,02-28,03-06
Northern Harrier,03-25,03-31,04-12
Northern Mockingbird,04-07,04-07,04-07
Northern Parula,04-24,05-07,05-21
Northern Pintail,02-24,03-07,04-06
Northern Shoveler,03-16,04-07,04-17
Northern Shrike,02-28,02-28,02-28
Northern Waterthrush,04-18,05-14,08-12
Northern Rough-winged Swallow,04-09,05-14,07-24
Northern Saw-whet Owl,04-02,04-07,04-13
Olive-sided Flycatcher,05-09,05-21,06-07
Orchard Oriole,04-30,05-14,07-31
Orange-crowned Warbler,05-01,05-14,05-21
Osprey,03-22,04-14,09-28
Ovenbird,04-26,05-31,07-19
Palm Warbler,04-18,04-30,05-15
Pectoral Sandpiper,04-08,04-14,04-21
Peregrine Falcon,03-07,03-07,03-07
Philadelphia Vireo,05-07,05-14,05-29
Pied-billed Grebe,03-11,04-07,06-14
Pink-footed Goose,03-01,03-07,03-13
Pileated Woodpecker,03-07,04-30,07-01
Pine Grosbeak,02-28,02-28,02-28
Pine Siskin,02-14,03-14,03-19
Pine Warbler,04-08,04-30,07-30
Prairie Warbler,05-07,05-21,06-19
Purple Finch,04-05,04-21,08-30
Purple Martin,04-10,05-14,09-03
Red-breasted Merganser,03-13,03-21,04-18
Red-breasted Nuthatch,04-25,04-30,05-09
Red-bellied Woodpecker,04-28,05-07,05-22
Red Crossbill,02-28,02-28,02-28
Redhead,03-06,03-21,03-26
Redpoll,02-28,02-28,02-28
Red-eyed Vireo,05-05,05-31,09-20
Red-headed Woodpecker,05-02,05-14,06-29
Red-necked Grebe,02-28,03-14,03-22
Red-shouldered Hawk,03-11,05-21,10-08
Red-tailed Hawk,03-07,03-07,03-07
Red-throated Loon,02-28,02-28,02-28
Red-winged Blackbird,02-25,04-30,08-12
Ring-billed Gull,03-04,04-07,01-01
Ring-necked Duck,03-06,03-31,04-24
Rose-breasted Grosbeak,04-25,05-14,09-18
Rock Pigeon,03-21,03-21,03-21
Rough-legged Hawk,03-07,03-07,03-07
Ross's Goose,02-28,02-28,02-28
Ruby-throated Hummingbird,05-01,05-21,09-21
Ruby-crowned Kinglet,04-08,04-21,05-13
Ruddy Duck,03-07,03-07,03-07
Ruddy Turnstone,05-08,05-21,06-10
Ruffed Grouse,03-25,04-14,06-23
Rufous Hummingbird,02-28,02-28,02-28
Rusty Blackbird,04-01,04-21,05-08
Sandhill Crane,03-05,04-07,08-14
Sanderling,05-15,05-31,06-12
Savannah Sparrow,04-03,04-30,08-23
Scarlet Tanager,05-02,05-14,09-19
Sedge Wren,05-21,05-31,08-26
Semipalmated Plover,05-06,05-14,05-26
Semipalmated Sandpiper,05-08,05-21,06-07
Short-billed Dowitcher,05-10,05-21,05-30
Short-eared Owl,03-21,03-21,03-21
Sharp-shinned Hawk,04-07,04-14,04-26
Snow Bunting,02-28,02-28,02-28
Snow Goose,02-28,03-07,04-05
Snowy Owl,03-07,03-07,03-07
Solitary Sandpiper,04-22,05-07,05-20
Song Sparrow,03-08,04-07,10-27
Sora,04-15,04-30,06-21
Spotted Sandpiper,04-23,05-21,09-30
Surf Scoter,04-22,04-30,05-10
Swamp Sparrow,04-04,04-30,08-13
Swainson's Thrush,05-02,05-14,05-29
Tennessee Warbler,05-02,05-14,05-28
Townsend's Solitaire,03-01,03-07,03-19
Tree Swallow,03-25,05-21,08-18
Trumpeter Swan,03-21,03-21,03-21
Tufted Titmouse,03-14,03-14,03-14
Tundra Swan,03-07,03-07,03-07
Turkey Vulture,03-11,04-14,10-24
Upland Sandpiper,04-10,04-30,07-20
Veery,05-02,05-31,07-17
Vesper Sparrow,04-02,04-21,08-04
Virginia Rail,04-06,04-30,08-16
Warbling Vireo,04-27,05-21,08-06
Western Meadowlark,02-28,02-28,02-28
White-breasted Nuthatch,02-28,02-28,02-28
White-crowned Sparrow,04-23,05-07,05-19
White-eyed Vireo,04-27,05-07,05-13
Whimbrel,05-15,05-21,05-29
Whooper Swan,04-22,04-30,05-06
White-rumped Sandpiper,05-08,05-14,06-04
White-throated Sparrow,04-13,04-30,05-14
White-winged Crossbill,05-14,05-14,05-14
White-winged Scoter,03-20,03-21,03-22
Willow Flycatcher,05-10,05-21,07-31
Wilson's Snipe,03-20,04-14,07-16
Wild Turkey,04-05,05-14,05-29
Winter Wren,03-22,04-07,07-13
Wilson's Warbler,05-03,05-21,05-30
Wood Duck,03-14,04-07,10-31
Wood Thrush,04-26,05-14,08-01
American Coot,02-28,02-28,02-28
Iceland Gull,02-28,02-28,02-28
Yellow-breasted Chat,05-23,05-31,06-07
Yellow-billed Cuckoo,05-09,05-31,08-23
Yellow-bellied Flycatcher,05-11,05-21,05-30
Yellow-bellied Sapsucker,03-31,04-14,10-08
Yellow Rail,04-22,04-30,05-06
Yellow Warbler,04-24,05-14,08-17
Yellow-rumped Warbler,04-15,04-30,05-23
Yellow-throated Vireo,04-28,05-14,08-05
