Species,Mass Arrival Date,Peak Date,Peak Over Date
Louisiana Waterthrush,05-22,05-31,06-06
Magnolia Warbler,05-01,05-14,05-24
Mallard,02-24,03-14,05-27
Marsh Wren,04-18,05-14,08-29
Merlin,04-18,04-21,04-23
Mourning Dove,03-19,05-31,09-30
Mourning Warbler,05-07,05-21,07-08
Muscovy Duck,03-06,03-07,03-08
Mute Swan,03-14,03-21,03-26
Nashville Warbler,04-21,05-07,05-20
Northern Cardinal,03-26,04-30,07-13
Northern Flicker,03-22,04-30,11-02
American Goshawk,04-08,04-14,04-20
Northern Harrier,02-28,02-28,02-28
Northern Mockingbird,02-25,02-28,03-03
Northern Parula,04-27,05-14,05-21
Northern Pintail,02-21,03-14,04-04
Northern Shoveler,02-27,03-21,04-30
Northern Shrike,03-07,03-07,03-07
Northern Waterthrush,04-21,05-14,06-28
Northern Rough-winged Swallow,04-08,04-30,07-21
Northern Saw-whet Owl,02-28,02-28,02-28
Olive-sided Flycatcher,04-25,05-14,05-27
Orchard Oriole,04-26,05-14,08-05
Orange-crowned Warbler,05-09,05-14,05-17
Osprey,03-23,04-07,10-29
Ovenbird,04-25,05-14,07-07
Palm Warbler,04-16,05-07,05-19
Pectoral Sandpiper,03-25,04-14,05-13
Peregrine Falcon,05-16,05-21,05-30
Philadelphia Vireo,05-07,05-14,05-28
Pied-billed Grebe,03-16,04-07,11-05
Pileated Woodpecker,04-15,05-14,06-23
Pine Siskin,02-28,02-28,02-28
Pine Warbler,04-04,04-30,07-13
Piping Plover,04-08,04-14,04-20
Prairie Warbler,05-01,05-07,05-13
Prothonotary Warbler,05-14,05-31,06-08
Purple Finch,04-28,04-30,05-02
Purple Martin,04-13,05-31,09-03
Red-breasted Merganser,03-22,04-14,05-03
Red-breasted Nuthatch,04-30,04-30,04-30
Red-bellied Woodpecker,04-24,04-30,05-17
Red Crossbill,04-07,04-07,04-07
Redhead,02-22,03-31,04-17
Red Knot,05-15,05-21,06-06
Redpoll,02-28,02-28,02-28
Red-eyed Vireo,05-03,05-21,09-28
Red-headed Woodpecker,04-18,05-14,09-17
Red-necked Grebe,03-16,03-31,04-06
Red-necked Phalarope,05-15,05-21,05-29
Red-shouldered Hawk,03-07,03-07,03-07
Red-tailed Hawk,02-28,02-28,02-28
Red-throated Loon,04-24,04-30,05-07
Red-winged Blackbird,02-22,04-30,08-12
Ring-billed Gull,03-01,03-14,04-04
Ring-necked Duck,02-25,03-21,04-28
Rose-breasted Grosbeak,04-23,05-14,09-05
Rock Pigeon,02-25,02-28,03-06
Rough-legged Hawk,03-07,03-07,03-07
Ross's Goose,03-06,03-21,03-29
Ruby-throated Hummingbird,04-26,05-21,10-01
Ruby-crowned Kinglet,04-07,04-21,05-13
Ruddy Duck,03-07,03-31,05-26
Ruddy Turnstone,05-10,05-21,05-31
Ruffed Grouse,04-21,04-30,05-16
Rusty Blackbird,03-15,04-14,04-22
Sandhill Crane,02-26,03-14,05-12
Sanderling,04-28,05-21,06-05
Savannah Sparrow,04-05,05-31,08-11
Scarlet Tanager,04-30,05-14,07-17
Scissor-tailed Flycatcher,04-22,04-30,05-06
Sedge Wren,04-22,04-30,05-10
Semipalmated Plover,05-01,05-21,06-03
