Species,Mass Arrival Date,Peak Date,Peak Over Date
Northern Harrier,03-15,04-14,05-13
Northern Mockingbird,05-22,05-31,06-12
Northern Parula,04-27,05-14,05-21
Northern Pintail,03-12,03-31,04-18
Northern Shoveler,03-17,04-14,05-07
Northern Shrike,03-14,03-14,03-14
Northern Waterthrush,04-22,05-14,07-09
Northern Rough-winged Swallow,04-12,04-30,07-16
Northern Saw-whet Owl,02-25,02-28,03-09
Olive-sided Flycatcher,05-08,05-21,06-24
Orchard Oriole,05-08,05-14,07-31
Orange-crowned Warbler,04-30,05-07,05-21
Osprey,03-31,04-21,09-26
Ovenbird,04-29,05-21,07-19
Painted Bunting,05-08,05-14,05-20
Palm Warbler,04-20,04-30,05-19
Pectoral Sandpiper,04-07,04-21,05-07
Peregrine Falcon,04-25,04-30,05-04
Philadelphia Vireo,05-07,05-14,06-03
Pied-billed Grebe,03-15,03-31,05-14
Pileated Woodpecker,03-09,04-30,05-23
Pine Grosbeak,02-27,02-28,03-01
Pine Siskin,02-18,02-28,03-10
Pine Warbler,04-09,04-30,07-28
Prairie Warbler,05-22,05-31,06-06
Purple Finch,04-07,04-30,05-15
Purple Martin,05-06,05-21,08-25
Red-breasted Merganser,02-28,02-28,02-28
Red-breasted Nuthatch,05-07,05-07,05-07
Red-bellied Woodpecker,02-28,02-28,02-28
Redhead,03-14,03-14,03-14
Redpoll,03-21,03-21,03-21
Red-eyed Vireo,05-08,05-31,09-16
Red-headed Woodpecker,04-09,05-14,09-14
Red-necked Grebe,02-28,02-28,02-28
Red-necked Phalarope,05-15,05-21,05-29
Red-shouldered Hawk,03-09,03-31,04-17
Red-tailed Hawk,02-28,02-28,02-28
Red-throated Loon,05-05,05-07,05-09
Red-winged Blackbird,02-25,04-30,08-27
Ring-billed Gull,02-25,03-31,12-10
Ring-necked Duck,03-10,03-31,04-24
Rose-breasted Grosbeak,04-27,05-14,09-10
Rock Pigeon,02-22,02-28,03-22
Rough-legged Hawk,03-12,03-14,03-20
Ross's Goose,04-07,04-07,04-07
Ruby-throated Hummingbird,05-01,05-14,09-17
Ruby-crowned Kinglet,04-09,04-21,05-13
Ruddy Duck,04-30,04-30,04-30
Ruddy Turnstone,05-15,05-21,05-29
Ruff,04-08,04-14,04-28
Ruffed Grouse,03-24,04-07,05-30
Rusty Blackbird,03-20,04-14,05-06
Sandhill Crane,03-06,03-31,06-28
Savannah Sparrow,04-05,05-31,08-03
Say's Phoebe,04-15,04-21,04-29
Scarlet Tanager,05-03,05-14,07-21
Sedge Wren,05-08,05-14,06-06
Semipalmated Plover,05-07,05-14,05-30
Semipalmated Sandpiper,05-09,05-21,06-09
Short-billed Dowitcher,05-01,05-07,05-24
Short-eared Owl,04-01,04-07,04-13
Sharp-shinned Hawk,04-02,04-14,04-18
Snow Bunting,02-28,02-28,02-28
Snow Goose,03-09,03-14,04-04
Snowy Owl,02-28,02-28,02-28
Solitary Sandpiper,04-21,05-07,05-18
Song Sparrow,03-09,05-31,10-21
Sora,04-22,05-07,06-27
Spotted Sandpiper,04-18,05-14,09-26
Stilt Sandpiper,04-22,04-30,05-06
Surf Scoter,04-09,04-14,04-28
Swamp Sparrow,04-06,05-31,10-21
Swainson's Thrush,05-06,05-14,05-27
Tennessee Warbler,05-03,05-14,05-25
Tree Swallow,04-01,05-14,07-21
Trumpeter Swan,03-10,03-21,04-07
Tufted Titmouse,02-28,02-28,02-28
Tundra Swan,02-24,03-21,04-06
Turkey Vulture,03-11,03-31,10-21
Upland Sandpiper,04-16,05-21,07-17
Varied Thrush,02-28,02-28,02-28
Veery,05-07,05-21,07-27
Vesper Sparrow,05-08,05-21,07-30
Virginia Rail,04-19,05-14,09-02
Warbling Vireo,04-29,05-31,08-19
Western Kingbird,05-15,05-21,05-30
White-breasted Nuthatch,02-28,02-28,02-28
White-crowned Sparrow,04-22,05-07,05-19
Whimbrel,05-08,05-14,05-28
White-rumped Sandpiper,05-15,05-21,05-30
White-throated Sparrow,04-12,04-30,07-14
White-winged Crossbill,02-27,02-28,03-01
White-winged Scoter,03-09,03-21,03-25
Willow Flycatcher,05-10,05-31,07-18
