Species,Mass Arrival Date,Peak Date,Peak Over Date
Hudsonian Godwit,05-01,05-07,05-13
Indigo Bunting,05-03,05-31,08-16
Killdeer,03-04,05-21,10-25
King Eider,03-08,03-14,03-18
King Rail,05-01,05-07,05-29
Lapland Longspur,02-28,02-28,02-28
Laughing Gull,05-08,05-14,05-23
Lesser Black-backed Gull,05-20,05-31,06-04
Least Bittern,05-08,05-31,09-17
Least Flycatcher,04-27,05-14,05-31
Least Sandpiper,04-30,05-14,05-31
LeConte's Sparrow,04-15,04-21,04-29
Lesser Scaup,02-25,04-14,05-03
Lesser Yellowlegs,04-15,04-30,05-28
Little Blue Heron,05-01,05-07,05-13
Lincoln's Sparrow,04-26,05-07,05-21
Little Gull,04-02,04-21,05-10
Long-billed Dowitcher,05-08,05-14,05-29
Long-eared Owl,03-14,03-14,03-14
Loggerhead Shrike,03-22,03-31,04-06
Long-tailed Duck,03-07,03-07,03-07
Louisiana Waterthrush,04-15,04-30,05-06
Magnolia Warbler,05-01,05-14,05-26
Mallard,02-27,03-31,05-30
Mandarin Duck,02-28,02-28,02-28
Marbled Godwit,05-08,05-14,05-20
Marsh Wren,04-23,05-21,10-10
Merlin,03-27,04-21,05-13
Mountain Bluebird,02-28,02-28,02-28
Mourning Dove,03-24,05-07,05-20
Mourning Warbler,05-08,05-31,07-10
Mute Swan,02-28,03-14,06-02
Nashville Warbler,04-22,05-07,06-02
Neotropic Cormorant,04-15,04-30,05-06
Northern Cardinal,03-22,05-07,05-24
Northern Flicker,03-31,04-21,10-12
American Goshawk,04-07,04-07,04-07
Northern Harrier,03-27,04-14,04-26
Northern Mockingbird,03-13,03-14,03-15
Northern Parula,04-25,05-14,05-21
Northern Pintail,03-02,03-21,04-25
Northern Shoveler,03-14,04-14,06-01
Northern Shrike,02-28,02-28,02-28
Northern Waterthrush,04-20,04-30,07-01
Northern Rough-winged Swallow,04-08,05-14,08-18
Northern Saw-whet Owl,03-13,03-14,03-15
Olive-sided Flycatcher,05-05,05-21,06-05
Orchard Oriole,04-28,05-14,07-19
Orange-crowned Warbler,04-27,05-07,05-21
Osprey,03-26,05-21,10-16
Ovenbird,04-24,05-14,07-12
Palm Warbler,04-19,04-30,05-19
Parasitic Jaeger,04-22,04-30,05-06
Pectoral Sandpiper,04-13,04-21,05-27
Peregrine Falcon,04-14,04-14,04-14
Philadelphia Vireo,05-04,05-14,05-28
Pied-billed Grebe,03-10,04-14,11-10
Pink-footed Goose,03-17,03-31,04-06
Pileated Woodpecker,03-11,04-30,05-20
Pine Grosbeak,02-28,02-28,02-28
Pine Siskin,03-24,03-31,04-10
Pine Warbler,04-07,04-30,07-19
Piping Plover,04-18,05-21,08-15
Prairie Warbler,04-23,05-07,05-14
Prothonotary Warbler,05-02,05-14,05-23
Purple Finch,03-27,04-30,11-12
Purple Martin,04-09,05-21,09-01
Purple Sandpiper,02-28,03-14,03-21
Red-breasted Merganser,04-02,04-21,05-06
Red-breasted Nuthatch,05-06,05-07,05-08
Red-bellied Woodpecker,04-22,04-30,05-15
Red Crossbill,02-28,02-28,02-28
Redhead,02-20,02-28,03-21
Red Junglefowl,05-15,05-21,05-29
Red Knot,05-14,05-21,06-06
Redpoll,02-28,02-28,02-28
Red-eyed Vireo,05-05,05-21,09-23
Red-headed Woodpecker,04-27,05-14,06-12
Red-necked Grebe,03-08,04-14,05-04
Red-necked Phalarope,05-14,05-21,05-31
Red-shouldered Hawk,05-18,05-31,06-25
Red-tailed Hawk,02-28,02-28,02-28
Red-throated Loon,05-09,05-21,05-30
Red-winged Blackbird,02-24,04-30,11-04
Ring-billed Gull,02-22,03-14,12-06
Ring-necked Duck,02-28,03-31,05-01
Rose-breasted Grosbeak,04-24,05-07,07-03
Rock Pigeon,03-31,03-31,03-31
Rough-legged Hawk,03-07,03-07,03-07
Ross's Goose,03-07,03-07,03-07
Ruby-throated Hummingbird,04-30,05-14,09-26
Ruby-crowned Kinglet,04-06,04-30,05-18
Ruddy Duck,03-21,04-21,05-05
Ruddy Turnstone,05-13,05-21,06-05
Ruff,05-22,05-31,06-07
Ruffed Grouse,03-23,04-14,06-06
Rusty Blackbird,04-13,04-21,05-02
Sandhill Crane,03-03,03-31,06-17
Sanderling,05-14,05-21,06-06
Savannah Sparrow,04-06,05-31,08-28
Scarlet Tanager,05-01,05-14,06-29
Sedge Wren,05-18,05-31,06-07
Semipalmated Plover,05-03,05-21,06-07
Semipalmated Sandpiper,05-11,05-21,06-13
Short-billed Dowitcher,05-02,05-21,06-01
Short-eared Owl,03-06,03-07,03-08
Sharp-shinned Hawk,04-17,04-30,05-04
Snow Bunting,02-28,02-28,02-28
Snowy Egret,05-01,05-07,05-13
Snow Goose,02-27,02-28,03-01
Snowy Owl,02-23,02-28,03-02
Solitary Sandpiper,04-19,05-07,05-22
Song Sparrow,03-09,04-30,10-29
Sora,04-10,04-30,06-21
Spotted Sandpiper,04-21,05-21,09-25
Stilt Sandpiper,05-15,05-21,05-29
Summer Tanager,04-30,05-07,05-14
Surf Scoter,05-18,05-21,05-24
Swan Goose,02-28,02-28,02-28
Swamp Sparrow,04-05,04-30,10-28
Swainson's Thrush,05-02,05-14,05-27
Swallow-tailed Kite,04-15,04-21,04-29
Tennessee Warbler,05-02,05-14,05-26
Townsend's Solitaire,02-28,02-28,02-28
Tree Swallow,03-28,04-30,08-17
Trumpeter Swan,02-20,03-07,04-01
Tufted Duck,02-28,02-28,02-28
Tufted Titmouse,04-08,04-14,04-21
Tundra Swan,02-19,03-07,03-20
Turkey Vulture,03-11,04-21,11-06
Upland Sandpiper,05-15,05-31,07-01
Varied Thrush,03-15,03-21,03-30
Veery,04-25,05-14,07-14
Vesper Sparrow,04-02,05-31,07-21
Virginia Rail,04-03,04-21,09-21
Warbling Vireo,04-27,05-14,07-28
Western Grebe,03-15,03-21,03-30
Western Tanager,02-28,02-28,02-28
White-breasted Nuthatch,03-14,03-14,03-14
White-crowned Sparrow,04-23,05-07,05-19
White-eyed Vireo,04-15,05-07,05-14
White-faced Ibis,05-23,05-31,06-06
Whimbrel,05-10,05-21,05-31
White-rumped Sandpiper,05-11,05-21,06-15
White-throated Sparrow,04-09,04-30,05-14
White-winged Crossbill,03-07,03-07,03-07
White-winged Dove,05-03,05-14,05-20
White-winged Scoter,02-23,03-07,03-16
Willow Flycatcher,05-08,05-21,08-08
Willet,04-22,04-30,05-16
Wilson's Phalarope,04-22,04-30,05-07
Wilson's Snipe,03-23,04-14,05-07
Wild Turkey,04-14,04-21,05-16
Winter Wren,03-23,04-14,05-18
Wilson's Warbler,05-05,05-14,05-29
Worm-eating Warbler,04-22,04-30,05-07
Wood Duck,03-04,03-31,11-10
Wood Thrush,04-24,05-14,07-14
American Coot,03-06,04-14,05-02
Iceland Gull,02-25,03-07,03-14
Yellow-crowned Night Heron,05-23,05-31,06-11
Yellow-billed Cuckoo,05-09,05-31,07-27
Yellow-bellied Flycatcher,05-07,05-21,06-02
Yellow-bellied Sapsucker,03-29,04-14,07-11
Yellow-headed Blackbird,03-08,03-14,03-20
Yellow Warbler,04-23,05-14,08-19
Yellow-rumped Warbler,04-10,04-30,05-21
Yellow-throated Vireo,04-30,05-14,06-06
Yellow-throated Warbler,05-22,05-31,06-06
