Species,Mass Arrival Date,Peak Date,Peak Over Date
Little Gull,05-08,05-14,05-26
Long-billed Dowitcher,05-08,05-14,05-20
Long-eared Owl,03-23,04-14,05-04
Loggerhead Shrike,04-22,04-30,05-06
Long-tailed Duck,04-16,05-07,05-30
Magnolia Warbler,05-08,05-31,08-01
Mallard,03-24,04-30,06-12
Marbled Godwit,05-07,05-14,05-23
Marsh Wren,05-08,05-31,06-12
Merlin,03-27,04-30,06-07
Mountain Bluebird,04-15,04-21,04-29
Mourning Dove,04-08,04-30,05-30
Mourning Warbler,05-17,05-31,07-20
Mute Swan,05-08,05-14,05-20
Nashville Warbler,05-03,05-31,09-24
Northern Hawk Owl,03-07,03-14,03-16
Northern Cardinal,04-07,04-07,04-07
Northern Flicker,04-08,04-30,10-07
American Goshawk,04-30,04-30,04-30
Northern Harrier,03-28,04-21,05-28
Northern Mockingbird,05-02,05-21,06-06
Northern Parula,05-06,05-21,09-11
Northern Pintail,03-27,04-21,05-07
Northern Shoveler,04-05,04-30,05-30
Northern Shrike,02-23,02-28,03-06
Northern Waterthrush,05-04,05-21,07-13
Northern Rough-winged Swallow,05-10,05-21,05-29
Nelson's Sparrow,05-15,05-21,05-29
Northern Saw-whet Owl,03-14,03-31,04-22
Olive-sided Flycatcher,05-10,05-31,08-31
Orchard Oriole,05-11,05-21,06-04
Orange-crowned Warbler,05-05,05-14,05-26
Osprey,04-11,05-21,10-18
Ovenbird,05-07,05-31,07-18
Painted Bunting,04-22,04-30,05-11
Palm Warbler,04-24,05-14,05-31
Pectoral Sandpiper,04-19,05-14,06-02
Peregrine Falcon,04-14,05-21,06-16
Philadelphia Vireo,05-12,05-21,09-14
Pied-billed Grebe,04-01,04-07,05-07
Pileated Woodpecker,02-24,03-14,04-12
Pine Grosbeak,02-28,02-28,02-28
Pine Siskin,02-13,03-31,05-26
Pine Warbler,04-23,05-31,07-13
Piping Plover,05-01,05-14,05-21
Purple Finch,04-04,05-07,06-03
Purple Sandpiper,04-15,04-21,04-29
Red-breasted Merganser,04-13,05-07,06-12
Red-breasted Nuthatch,02-28,02-28,02-28
Red-bellied Woodpecker,02-28,02-28,02-28
Red Crossbill,02-28,02-28,02-28
Redhead,04-02,04-30,05-30
Red Knot,05-18,05-31,06-06
Redpoll,02-28,02-28,02-28
Red-eyed Vireo,05-16,05-31,09-12
Red-headed Woodpecker,05-14,05-21,06-07
Red-necked Grebe,04-15,04-30,05-14
Red-tailed Hawk,03-25,04-07,11-06
Red-throated Loon,04-22,05-07,05-26
Red-winged Blackbird,03-30,05-14,08-13
Ring-billed Gull,03-19,04-30,06-14
Ring-necked Duck,04-01,04-30,05-31
Ring-necked Pheasant,02-25,02-28,03-03
Rose-breasted Grosbeak,05-02,05-14,06-25
Rock Pigeon,03-31,03-31,03-31
Rough-legged Hawk,03-26,04-21,04-30
Ross's Goose,04-02,04-14,05-03
Ruby-throated Hummingbird,05-05,05-21,09-14
Ruby-crowned Kinglet,04-13,04-30,07-13
Ruddy Duck,04-08,04-14,04-20
Ruddy Turnstone,05-08,05-21,05-31
Ruffed Grouse,04-16,04-30,06-05
Rusty Blackbird,04-07,04-21,05-07
Sandhill Crane,03-28,04-21,10-02
Sanderling,05-14,05-21,06-04
Savannah Sparrow,04-24,05-14,08-04
Say's Phoebe,04-15,04-21,04-29
Scarlet Tanager,05-08,05-21,06-07
Sedge Wren,05-01,05-14,07-04
Semipalmated Plover,05-08,05-21,06-03
Semipalmated Sandpiper,05-14,05-21,06-06
Short-billed Dowitcher,05-01,05-14,05-26
Short-eared Owl,04-16,04-21,04-25
Sharp-shinned Hawk,04-19,05-07,05-28
Sharp-tailed Grouse,03-14,03-31,04-03
Snow Bunting,03-04,04-14,05-01
Snow Goose,02-22,02-28,03-06
Snowy Owl,03-07,03-07,03-07
Snowy Plover,05-15,05-21,05-29
Solitary Sandpiper,04-23,05-07,05-21
Song Sparrow,04-03,04-30,10-13
Sora,05-01,05-21,10-16
Spotted Sandpiper,05-01,05-21,09-20
Spotted Towhee,02-28,02-28,02-28
Spruce Grouse,05-22,05-31,06-07
Stilt Sandpiper,05-01,05-07,05-13
Summer Tanager,05-09,05-21,05-31
Surf Scoter,04-23,05-07,05-25
Swainson's Hawk,05-15,05-21,06-05
Swamp Sparrow,04-22,05-21,10-22
Swainson's Thrush,05-12,05-31,08-07
Tennessee Warbler,05-09,05-31,07-13
Townsend's Solitaire,03-21,03-21,03-21
Tree Swallow,04-20,05-21,07-23
Tricolored Heron,04-15,04-21,04-29
Trumpeter Swan,03-05,03-14,05-30
Tundra Swan,04-01,04-07,04-20
Turkey Vulture,04-02,04-30,10-12
Upland Sandpiper,05-08,05-31,06-06
Varied Thrush,03-31,03-31,03-31
Veery,05-13,05-31,07-25
Vesper Sparrow,05-07,05-21,06-07
Violet-green Swallow,05-15,05-21,05-29
Virginia Rail,04-27,05-31,06-29
Warbling Vireo,05-15,05-21,05-29
Western Kingbird,05-04,05-14,05-21
Western Meadowlark,02-28,02-28,02-28
Western Tanager,04-27,05-07,05-20
White-breasted Nuthatch,02-27,03-07,03-14
White-crowned Sparrow,04-23,05-07,05-25
Whimbrel,05-15,05-21,06-01
White-rumped Sandpiper,05-11,05-21,05-29
White-throated Sparrow,04-16,05-31,10-13
White-winged Crossbill,03-14,03-14,03-14
White-winged Dove,05-15,05-21,06-06
White-winged Scoter,04-22,05-07,05-29
Willow Flycatcher,05-22,05-31,06-06
Willet,05-07,05-14,05-25
Wilson's Phalarope,05-02,05-14,05-20
Wilson's Snipe,04-14,04-30,07-03
Wild Turkey,03-31,03-31,03-31
Winter Wren,04-06,05-31,08-07
Wilson's Warbler,05-09,05-21,06-22
Wood Duck,03-28,04-21,10-06
Wood Thrush,05-08,05-14,05-26
American Coot,04-01,04-07,05-16
Iceland Gull,03-07,03-14,03-20
Yellow-bellied Flycatcher,05-15,05-31,07-13
Yellow-bellied Sapsucker,04-01,04-14,07-17
Yellow-headed Blackbird,04-22,05-14,05-27
Yellow Rail,05-22,05-31,06-06
Yellow Warbler,05-10,05-21,09-01
Yellow-rumped Warbler,04-14,05-14,10-14
