Species,Mass Arrival Date,Peak Date,Peak Over Date
Northern Saw-whet Owl,03-23,03-31,04-16
Olive-sided Flycatcher,05-20,05-31,08-26
Orange-crowned Warbler,05-01,05-14,06-20
Osprey,04-23,05-14,09-27
Ovenbird,05-08,05-31,07-14
Painted Bunting,05-01,05-07,05-13
Palm Warbler,05-01,05-31,10-06
Pectoral Sandpiper,05-03,05-21,05-30
Peregrine Falcon,04-21,04-30,05-28
Philadelphia Vireo,05-13,05-21,09-11
Pied-billed Grebe,04-04,04-21,06-27
Pileated Woodpecker,03-24,03-31,04-01
Pine Grosbeak,02-28,02-28,02-28
Pine Siskin,02-22,03-14,04-07
Purple Finch,04-07,05-07,09-07
Red-breasted Merganser,05-01,05-14,06-09
Red-breasted Nuthatch,05-14,05-14,05-14
Red-bellied Woodpecker,03-14,03-14,03-14
Red Crossbill,02-20,02-28,03-04
Redhead,04-22,05-07,06-07
Red Knot,05-15,05-21,05-31
Redpoll,02-09,02-28,03-01
Red-eyed Vireo,05-15,05-31,09-06
Red-necked Grebe,05-01,05-21,06-03
Red-necked Phalarope,05-17,05-31,06-06
Red-tailed Hawk,04-03,04-21,11-13
Red-throated Loon,05-15,05-21,05-29
Red-winged Blackbird,03-31,05-07,06-24
Ring-billed Gull,03-31,04-30,06-17
Ring-necked Duck,04-06,05-07,06-24
Rose-breasted Grosbeak,05-08,05-21,07-11
Rock Pigeon,03-30,03-31,04-01
Rough-legged Hawk,03-23,04-21,05-05
Ruby-throated Hummingbird,05-10,05-21,06-27
Ruby-crowned Kinglet,04-21,05-31,10-05
Ruddy Duck,05-08,05-14,06-26
Ruddy Turnstone,05-15,05-21,06-13
Ruffed Grouse,02-26,02-28,03-02
Rusty Blackbird,04-07,04-21,05-16
Sandhill Crane,04-04,04-30,10-17
Sanderling,05-17,05-31,06-11
Savannah Sparrow,04-25,05-14,10-06
Scarlet Tanager,05-15,05-21,05-30
Semipalmated Plover,05-15,05-21,06-05
Semipalmated Sandpiper,05-15,05-21,06-07
Short-billed Dowitcher,05-02,05-14,05-26
Short-eared Owl,04-09,04-21,05-04
Sharp-shinned Hawk,04-08,04-30,06-03
Sharp-tailed Grouse,03-07,03-14,03-19
Snow Bunting,03-13,03-31,04-25
Snow Goose,04-16,05-14,05-25
Snowy Owl,03-14,03-14,03-14
Solitary Sandpiper,04-28,05-14,06-03
Song Sparrow,04-06,05-21,10-18
Sora,04-30,05-14,09-11
Spotted Sandpiper,05-03,05-21,09-13
Spruce Grouse,03-03,03-07,03-16
Summer Tanager,05-15,05-21,05-30
Surf Scoter,05-15,05-21,06-06
Swamp Sparrow,04-26,05-21,10-14
Swainson's Thrush,05-15,05-31,09-10
Tennessee Warbler,05-09,05-21,09-05
Tree Swallow,04-22,05-21,08-17
Trumpeter Swan,03-16,03-31,06-13
Tundra Swan,04-15,04-21,04-29
Turkey Vulture,04-06,04-21,09-28
Veery,05-11,05-31,07-21
Vesper Sparrow,05-01,05-07,05-13
Virginia Rail,05-01,05-21,08-12
Warbling Vireo,05-22,05-31,06-13
Western Tanager,05-08,05-14,05-20
White-breasted Nuthatch,03-14,03-14,03-14
White-crowned Sparrow,04-27,05-14,05-25
Whimbrel,05-08,05-14,05-20
White-rumped Sandpiper,05-15,05-21,06-08
White-throated Sparrow,04-21,05-31,10-12
White-winged Crossbill,03-09,03-14,03-19
White-winged Dove,05-15,05-31,06-06
White-winged Scoter,05-04,05-14,05-30
Willet,05-01,05-07,05-13
Wilson's Phalarope,05-03,05-21,05-31
Willow Ptarmigan,02-28,02-28,02-28
Wilson's Snipe,04-15,05-14,09-14
Winter Wren,04-24,05-31,08-05
Wilson's Warbler,05-13,05-31,08-30
Wood Duck,04-03,05-31,07-07
American Coot,04-13,05-14,06-16
Iceland Gull,04-08,05-07,05-13
Yellow-breasted Chat,05-22,05-31,06-06
Yellow-bellied Flycatcher,05-17,05-31,07-13
Yellow-bellied Sapsucker,04-09,05-14,09-27
Yellow-headed Blackbird,05-01,05-14,05-29
Yellow Rail,05-22,05-31,06-14
Yellow Warbler,05-10,05-21,09-09
Yellow-rumped Warbler,04-25,05-14,10-04
