Species,Mass Arrival Date,Peak Date,Peak Over Date
Lincoln's Sparrow,04-24,05-14,05-21
Little Gull,04-30,04-30,04-30
Long-billed Dowitcher,04-15,05-07,05-16
Long-eared Owl,03-06,03-07,03-15
Long-tailed Duck,02-28,02-28,02-28
Louisiana Waterthrush,04-16,04-30,06-06
Magnolia Warbler,05-02,05-14,05-30
Mallard,03-02,04-07,05-28
Marbled Godwit,05-01,05-07,05-29
Marsh Wren,04-22,05-14,10-06
Merlin,03-06,04-21,05-27
Mourning Dove,04-30,04-30,04-30
Mourning Warbler,05-09,05-31,07-12
Muscovy Duck,03-04,03-07,03-10
Mute Swan,02-28,02-28,02-28
Nashville Warbler,04-23,05-14,06-18
Neotropic Cormorant,05-08,05-14,05-20
Northern Hawk Owl,02-28,02-28,02-28
Northern Bobwhite,05-23,05-31,06-06
Northern Cardinal,04-23,04-30,05-13
Northern Flicker,03-31,04-30,10-07
American Goshawk,02-28,02-28,02-28
Northern Harrier,03-04,04-21,05-25
Northern Mockingbird,05-01,05-07,05-20
Northern Parula,04-28,05-14,05-23
Northern Pintail,02-24,03-31,04-29
Northern Shoveler,03-16,04-14,05-23
Northern Shrike,02-28,02-28,02-28
Northern Waterthrush,04-22,05-14,07-04
Northern Rough-winged Swallow,04-10,05-14,07-29
Northern Saw-whet Owl,03-06,03-07,03-08
Olive-sided Flycatcher,05-07,05-14,06-06
Orchard Oriole,04-30,05-14,05-30
Orange-crowned Warbler,04-24,05-14,05-24
Osprey,03-24,04-07,09-18
Ovenbird,04-28,05-31,07-18
Palm Warbler,04-18,04-30,05-19
Pectoral Sandpiper,04-14,04-21,04-30
Peregrine Falcon,05-07,05-07,05-07
Philadelphia Vireo,05-07,05-21,06-04
Pied-billed Grebe,03-21,04-14,11-07
Pileated Woodpecker,04-20,05-14,05-17
Pine Grosbeak,02-28,02-28,02-28
Pine Siskin,04-20,04-30,05-09
Pine Warbler,04-07,04-30,07-26
Piping Plover,04-17,05-31,08-04
Prairie Warbler,04-23,05-07,06-30
Prothonotary Warbler,05-01,05-07,05-13
Purple Finch,03-31,04-30,09-07
Purple Martin,04-16,05-31,08-20
Red-breasted Merganser,04-21,04-21,04-21
Red-breasted Nuthatch,05-07,05-07,05-07
Red-bellied Woodpecker,04-28,05-14,05-16
Red Crossbill,02-28,03-07,03-11
Redhead,03-02,03-21,04-16
Red Knot,05-15,05-21,05-30
Redpoll,03-21,03-21,03-21
Red-eyed Vireo,05-08,05-31,09-12
Red-headed Woodpecker,04-26,05-14,09-02
Red-necked Grebe,04-22,04-30,05-01
Red-necked Phalarope,05-23,05-31,06-06
Red-shouldered Hawk,03-06,03-31,07-11
Red-tailed Hawk,03-31,03-31,03-31
Red-throated Loon,04-15,04-21,05-03
Red-winged Blackbird,02-27,04-30,10-26
Ring-billed Gull,03-01,04-14,12-18
Ring-necked Duck,03-04,03-31,05-04
Rose-breasted Grosbeak,04-28,05-14,09-10
Rock Pigeon,02-28,02-28,02-28
Rough-legged Hawk,02-28,02-28,02-28
Ross's Goose,02-18,03-21,04-02
Ruby-throated Hummingbird,05-01,05-14,09-19
Ruby-crowned Kinglet,04-08,04-21,05-13
Ruddy Duck,03-20,04-07,05-13
Ruddy Turnstone,05-10,05-21,06-06
Ruff,05-01,05-14,05-20
Ruffed Grouse,03-31,05-07,05-29
Rusty Blackbird,03-26,04-21,05-10
Sandhill Crane,03-01,03-31,06-28
Sanderling,05-03,05-21,06-05
Savannah Sparrow,04-06,05-21,08-01
Scarlet Tanager,05-02,05-14,08-01
Sedge Wren,05-04,05-21,08-01
Semipalmated Plover,05-05,05-14,06-03
Semipalmated Sandpiper,05-08,05-21,06-07
Short-billed Dowitcher,05-04,05-14,05-23
Short-eared Owl,03-16,03-21,03-30
Sharp-shinned Hawk,04-11,04-30,05-05
Slaty-backed Gull,02-28,02-28,02-28
Snow Bunting,02-18,02-28,03-01
Snowy Egret,04-22,04-30,05-06
Snow Goose,02-25,03-21,04-16
Snowy Owl,03-07,03-07,03-07
