Species,Mass Arrival Date,Peak Date,Peak Over Date
Mourning Warbler,05-09,05-21,07-12
Mute Swan,03-18,03-21,03-27
Nashville Warbler,04-22,05-07,05-21
Northern Bobwhite,05-22,05-31,06-13
Northern Cardinal,04-10,04-30,05-26
Northern Flicker,03-20,04-21,10-19
American Goshawk,03-22,03-31,04-06
Northern Harrier,03-12,04-14,05-03
Northern Mockingbird,03-01,03-07,03-13
Northern Parula,04-27,05-14,05-21
Northern Pintail,03-02,04-07,04-26
Northern Shoveler,03-08,04-07,05-12
Northern Shrike,03-07,03-07,03-07
Northern Waterthrush,04-24,05-14,06-12
Northern Rough-winged Swallow,04-10,05-07,06-30
Olive-sided Flycatcher,05-02,05-21,05-29
Orchard Oriole,04-26,05-14,06-30
Orange-crowned Warbler,04-22,04-30,05-24
Osprey,04-02,04-21,05-28
Ovenbird,04-27,05-14,07-16
Palm Warbler,04-16,05-07,05-18
Pectoral Sandpiper,04-12,04-21,05-07
Peregrine Falcon,04-20,04-30,05-03
Philadelphia Vireo,05-05,05-14,05-30
Pied-billed Grebe,03-21,04-07,06-13
Pileated Woodpecker,04-07,05-14,06-12
Pine Grosbeak,02-28,02-28,02-28
Pine Siskin,04-27,04-30,05-05
Pine Warbler,04-09,04-21,07-13
Prairie Warbler,05-01,05-07,05-13
Prothonotary Warbler,05-15,05-21,05-29
Purple Finch,04-05,04-21,05-13
Purple Martin,04-07,05-07,09-05
Red-breasted Merganser,03-20,04-14,05-07
Red-breasted Nuthatch,04-30,04-30,04-30
Red-bellied Woodpecker,05-14,05-14,05-14
Redhead,03-02,04-07,04-25
Redpoll,03-07,03-07,03-07
Red-eyed Vireo,05-07,05-31,09-10
Red-headed Woodpecker,04-19,05-14,06-11
Red-necked Grebe,03-20,03-31,04-06
Red-shouldered Hawk,04-01,04-07,04-13
Red-tailed Hawk,02-28,02-28,02-28
Red-throated Loon,05-10,05-14,05-19
Red-winged Blackbird,02-27,05-31,08-19
Ring-billed Gull,03-03,03-31,05-24
Ring-necked Duck,03-05,04-07,05-05
Rose-breasted Grosbeak,04-26,05-14,07-28
Rock Pigeon,03-14,03-14,03-14
Rough-legged Hawk,03-07,03-07,03-07
Ross's Goose,03-01,03-07,03-28
Ruby-throated Hummingbird,04-28,05-14,09-26
Ruby-crowned Kinglet,04-07,04-21,05-14
Ruddy Duck,03-11,04-14,05-13
Ruddy Turnstone,05-08,05-14,06-06
Ruffed Grouse,03-31,05-14,06-04
Rusty Blackbird,03-20,04-14,05-12
Sandhill Crane,03-04,04-07,06-02
Sanderling,05-10,05-21,05-29
Savannah Sparrow,04-03,05-31,10-17
Scarlet Tanager,05-03,05-14,06-27
Sedge Wren,05-16,05-31,07-14
Semipalmated Plover,05-04,05-14,05-28
Semipalmated Sandpiper,05-08,05-14,06-07
Short-billed Dowitcher,05-02,05-14,05-21
Short-eared Owl,02-24,02-28,03-04
Sharp-shinned Hawk,04-14,04-21,04-30
Snow Bunting,03-07,03-07,03-07
Snow Goose,03-13,03-14,03-16
Snowy Owl,02-28,02-28,02-28
Solitary Sandpiper,04-17,05-07,05-21
Song Sparrow,03-10,05-31,10-29
Sora,04-06,05-07,06-03
Spotted Sandpiper,04-17,05-14,09-20
Summer Tanager,05-01,05-07,05-13
Swamp Sparrow,04-07,05-07,08-12
Swainson's Thrush,05-01,05-14,05-27
Tennessee Warbler,05-05,05-14,05-23
Townsend's Solitaire,04-01,04-07,04-13
Tree Swallow,03-29,05-07,09-04
Trumpeter Swan,04-03,04-21,05-12
Tufted Duck,04-22,04-30,05-07
Tufted Titmouse,03-09,03-14,03-18
Tundra Swan,02-24,03-14,04-04
Turkey Vulture,03-08,04-21,10-31
Upland Sandpiper,05-17,05-31,08-19
Veery,04-29,05-14,07-16
Vesper Sparrow,03-30,05-31,07-29
Virginia Rail,04-07,05-07,08-04
Warbling Vireo,04-26,05-21,08-05
Western Meadowlark,05-08,05-14,05-20
White-breasted Nuthatch,05-14,05-14,05-14
White-crowned Sparrow,04-23,05-07,05-18
White-eyed Vireo,05-01,05-07,05-13
White-faced Ibis,04-15,04-21,04-29
Whimbrel,05-08,05-14,05-29
White-rumped Sandpiper,05-22,05-31,06-12
White-throated Sparrow,04-10,04-30,05-16
White-winged Crossbill,02-28,02-28,02-28
White-winged Scoter,03-13,03-21,03-24
Willow Flycatcher,05-08,05-31,08-06
Willet,05-01,05-07,05-20
Wilson's Phalarope,05-08,05-14,05-29
Wilson's Snipe,03-20,04-21,05-07
Wild Turkey,04-03,04-14,05-04
Winter Wren,04-14,04-21,07-17
Wilson's Warbler,05-07,05-14,05-26
Wood Duck,03-06,05-14,06-13
Wood Thrush,04-28,05-14,07-18
American Coot,03-22,04-14,05-14
Iceland Gull,03-20,03-21,03-22
Yellow-billed Cuckoo,05-09,05-31,08-09
Yellow-bellied Flycatcher,05-04,05-31,06-12
Yellow-bellied Sapsucker,03-24,04-14,07-19
Yellow-headed Blackbird,04-15,04-21,04-29
Yellow Warbler,04-23,05-14,08-11
Yellow-rumped Warbler,04-05,05-07,05-20
Yellow-throated Vireo,05-02,05-14,06-11
Yellow-throated Warbler,04-15,04-21,04-29
