Species,Mass Arrival Date,Peak Date,Peak Over Date
Northern Mockingbird,04-16,05-21,05-29
Northern Parula,04-26,05-14,05-21
Northern Pintail,02-25,03-07,04-16
Northern Shoveler,03-10,03-31,05-06
Northern Shrike,03-02,03-07,03-10
Northern Waterthrush,04-19,05-14,07-18
Northern Rough-winged Swallow,04-10,05-07,08-28
Northern Saw-whet Owl,04-01,04-07,04-13
Olive-sided Flycatcher,05-11,05-21,05-29
Orchard Oriole,04-26,05-14,06-30
Orange-crowned Warbler,04-25,05-07,05-19
Osprey,04-01,05-14,09-14
Ovenbird,04-27,05-14,08-01
Palm Warbler,04-16,04-30,05-20
Pectoral Sandpiper,04-21,04-30,05-13
Peregrine Falcon,04-09,05-07,05-19
Philadelphia Vireo,05-03,05-21,05-29
Pied-billed Grebe,03-17,04-14,05-09
Pileated Woodpecker,04-06,04-14,05-04
Pine Siskin,02-28,02-28,02-28
Pine Warbler,04-07,04-21,07-19
Piping Plover,05-08,05-14,05-20
Purple Finch,04-10,04-14,05-08
Purple Martin,04-08,05-14,07-31
Red-breasted Merganser,03-13,04-14,04-26
Red-breasted Nuthatch,02-28,02-28,02-28
Red-bellied Woodpecker,05-14,05-14,05-14
Red Crossbill,02-28,02-28,02-28
Redhead,02-25,03-31,04-20
Redpoll,03-07,03-07,03-07
Red-eyed Vireo,05-07,05-21,09-18
Red-headed Woodpecker,04-27,05-31,06-29
Red-necked Grebe,03-15,03-21,03-29
Red-shouldered Hawk,03-03,03-07,03-19
Red-tailed Hawk,03-14,03-14,03-14
Red-winged Blackbird,02-23,04-30,08-29
Ring-billed Gull,03-01,03-21,04-26
Ring-necked Duck,03-01,03-31,04-26
Ring-necked Pheasant,04-01,04-07,04-13
Rose-breasted Grosbeak,04-24,05-14,07-14
Rock Pigeon,02-28,02-28,02-28
Rough-legged Hawk,02-28,02-28,02-28
Ross's Goose,03-01,03-07,03-13
Ruby-throated Hummingbird,04-28,05-21,09-26
Ruby-crowned Kinglet,04-07,04-21,05-14
Ruddy Duck,03-17,04-14,05-14
Ruddy Turnstone,05-01,05-07,05-26
Ruffed Grouse,03-22,04-07,04-21
Rusty Blackbird,03-14,04-07,05-15
Sandhill Crane,02-22,03-31,04-25
Sanderling,05-01,05-07,05-13
Savannah Sparrow,04-09,05-31,07-21
Scarlet Tanager,05-01,05-14,06-30
Sedge Wren,05-23,05-31,06-06
