Species,Mass Arrival Date,Peak Date,Peak Over Date
Northern Shoveler,04-02,04-21,05-22
Northern Shrike,02-28,02-28,02-28
Northern Waterthrush,04-23,05-14,07-13
Northern Rough-winged Swallow,04-23,05-07,08-20
Northern Saw-whet Owl,03-10,03-31,04-14
Olive-sided Flycatcher,05-10,05-31,08-01
Orange-crowned Warbler,04-22,04-30,05-06
Osprey,04-03,04-30,10-03
Ovenbird,04-30,05-31,07-19
Palm Warbler,04-16,05-07,05-20
Pectoral Sandpiper,04-15,04-21,04-29
Peregrine Falcon,04-17,04-30,05-21
Philadelphia Vireo,05-10,05-21,06-01
Pied-billed Grebe,04-03,04-30,11-10
Pileated Woodpecker,04-02,04-07,04-18
Pine Grosbeak,03-07,03-07,03-07
Pine Siskin,02-14,02-28,05-02
Pine Warbler,04-11,04-30,09-23
Prairie Warbler,05-23,05-31,06-06
Purple Finch,04-07,04-21,05-19
Purple Martin,04-15,05-14,05-20
Red-breasted Merganser,04-09,04-21,05-04
Red-breasted Nuthatch,03-07,03-07,03-07
Red-bellied Woodpecker,05-14,05-14,05-14
Red Crossbill,01-29,02-28,03-02
Redhead,03-23,04-07,04-14
Red Knot,05-15,05-21,05-30
Redpoll,03-07,03-07,03-07
Red-eyed Vireo,05-10,05-31,09-09
Red-headed Woodpecker,05-15,05-21,05-30
Red-necked Grebe,04-16,04-30,05-19
Red-shouldered Hawk,03-18,03-31,05-14
Red-tailed Hawk,03-13,03-31,04-12
Red-winged Blackbird,02-27,04-30,08-10
Ring-billed Gull,03-10,04-14,12-10
Ring-necked Duck,03-21,04-14,05-29
Rose-breasted Grosbeak,05-01,05-14,09-13
Rock Pigeon,03-05,03-07,03-11
Rough-legged Hawk,03-24,04-07,04-12
Ross's Goose,04-01,04-07,04-13
Ruby-throated Hummingbird,05-02,05-14,09-13
Ruby-crowned Kinglet,04-10,04-21,05-12
Ruddy Duck,04-01,04-14,05-05
Ruddy Turnstone,05-15,05-21,05-30
Ruffed Grouse,04-01,04-21,05-26
Rusty Blackbird,04-04,04-21,05-13
Sandhill Crane,03-13,04-07,05-29
Sanderling,05-15,05-21,05-30
Savannah Sparrow,04-06,05-21,08-03
Scarlet Tanager,05-04,05-21,09-17
Sedge Wren,05-15,05-31,07-20
Semipalmated Plover,05-08,05-14,06-14
Semipalmated Sandpiper,05-14,05-31,06-13
Short-billed Dowitcher,05-15,05-21,05-30
Short-eared Owl,04-21,04-21,04-21
Sharp-shinned Hawk,03-24,03-31,04-11
Snow Bunting,02-28,02-28,02-28
Snow Goose,03-31,04-14,05-08
Snowy Owl,03-31,03-31,03-31
Solitary Sandpiper,04-23,05-07,05-20
Song Sparrow,03-17,04-14,10-18
Sora,04-17,05-07,08-19
Spotted Sandpiper,04-30,05-14,06-06
Summer Tanager,05-01,05-07,05-13
Surf Scoter,04-01,04-07,04-13
Swamp Sparrow,04-08,04-30,10-12
Swainson's Thrush,05-07,05-31,10-10
Tennessee Warbler,05-03,05-14,05-31
Tree Swallow,04-04,05-14,07-13
Trumpeter Swan,02-23,03-07,05-06
Tundra Swan,04-08,04-14,04-20
Turkey Vulture,03-16,04-07,10-18
Upland Sandpiper,04-19,05-31,07-07
Varied Thrush,02-28,02-28,02-28
Veery,05-08,05-31,07-24
Vesper Sparrow,04-02,04-14,07-19
Virginia Rail,04-14,05-14,09-24
Warbling Vireo,05-01,05-14,08-06
White-breasted Nuthatch,02-28,02-28,02-28
White-crowned Sparrow,04-24,05-07,05-21
Whimbrel,05-15,05-21,05-30
White-rumped Sandpiper,05-15,05-21,05-29
White-throated Sparrow,04-12,04-30,08-08
White-winged Crossbill,02-28,02-28,02-28
White-winged Scoter,05-07,05-21,05-29
Willow Flycatcher,05-08,05-31,08-01
Willet,05-23,05-31,06-14
Wilson's Phalarope,05-08,05-14,05-28
Wilson's Snipe,03-31,04-30,08-08
Wild Turkey,02-25,02-28,03-03
Winter Wren,04-06,05-21,08-09
Wilson's Warbler,05-08,05-21,05-31
