Species,Mass Arrival Date,Peak Date,Peak Over Date
Osprey,04-08,05-21,09-17
Ovenbird,04-29,05-21,07-13
Palm Warbler,04-19,04-30,05-19
Pectoral Sandpiper,04-01,04-07,04-28
Peregrine Falcon,04-10,04-30,05-11
Philadelphia Vireo,05-09,05-21,06-05
Pied-billed Grebe,03-29,05-21,10-30
Pileated Woodpecker,04-14,05-07,06-04
Pine Grosbeak,02-28,02-28,02-28
Pine Siskin,04-21,04-30,05-06
Pine Warbler,04-11,04-30,07-13
Purple Finch,04-12,04-30,05-29
Purple Martin,04-22,04-30,05-06
Red-breasted Merganser,04-03,04-14,05-13
Red-breasted Nuthatch,05-07,05-07,05-07
Red-bellied Woodpecker,05-07,05-07,05-07
Red Crossbill,03-01,03-07,03-13
Redhead,03-10,03-31,04-29
Redpoll,02-25,02-28,03-02
Red-eyed Vireo,05-08,05-31,09-02
Red-headed Woodpecker,05-21,05-21,05-21
Red-necked Grebe,04-08,05-21,06-06
Red-shouldered Hawk,03-31,04-07,04-11
Red-tailed Hawk,04-05,04-07,04-08
Red-winged Blackbird,03-04,04-30,08-14
Ring-billed Gull,03-08,04-21,11-25
Ring-necked Duck,03-09,04-14,05-14
Rose-breasted Grosbeak,04-29,05-14,07-14
Rock Pigeon,03-10,03-14,03-18
Rough-legged Hawk,04-07,04-07,04-07
Ross's Goose,03-22,03-31,04-06
Ruby-throated Hummingbird,04-28,05-14,09-11
Ruby-crowned Kinglet,04-08,04-21,05-14
Ruddy Duck,04-14,04-30,05-27
Ruff,04-15,04-21,04-29
Ruffed Grouse,04-16,04-30,05-25
Rusty Blackbird,04-01,04-21,04-29
Sandhill Crane,03-14,04-14,11-14
Savannah Sparrow,04-05,05-31,08-31
Scarlet Tanager,05-01,05-21,07-05
Sedge Wren,05-06,05-21,06-27
Semipalmated Plover,05-04,05-14,05-24
Semipalmated Sandpiper,05-15,05-31,06-06
Short-billed Dowitcher,05-01,05-07,05-13
Short-eared Owl,03-01,03-07,03-13
Sharp-shinned Hawk,04-09,04-14,04-19
Snow Bunting,03-07,03-07,03-07
Snow Goose,03-10,03-31,04-10
Snowy Owl,02-28,02-28,02-28
Solitary Sandpiper,04-23,05-14,05-21
Song Sparrow,03-17,05-31,10-20
Sora,04-18,05-21,07-09
Spotted Sandpiper,04-24,05-14,06-29
Swamp Sparrow,04-08,05-21,10-15
Swainson's Thrush,05-08,05-14,06-02
Tennessee Warbler,05-02,05-14,05-29
Townsend's Solitaire,02-28,02-28,02-28
Tree Swallow,04-06,04-30,08-11
Trumpeter Swan,03-08,05-21,11-24
Tundra Swan,02-23,03-14,04-07
Turkey Vulture,03-14,04-21,10-16
Upland Sandpiper,04-14,04-21,05-13
Veery,05-05,05-21,07-18
Vesper Sparrow,04-03,04-14,07-21
Virginia Rail,05-14,05-21,08-06
Warbling Vireo,05-01,05-21,07-21
White-breasted Nuthatch,04-30,04-30,04-30
White-crowned Sparrow,04-25,05-07,05-18
White-throated Sparrow,04-11,04-30,08-09
White-winged Crossbill,04-30,04-30,04-30
White-winged Scoter,04-01,04-14,05-10
Willow Flycatcher,05-15,05-21,06-29
Wilson's Phalarope,05-01,05-07,05-13
Wilson's Snipe,03-23,04-30,10-01
Wild Turkey,04-24,04-30,05-04
Winter Wren,03-23,04-30,08-04
Wilson's Warbler,05-08,05-14,05-29
Wood Duck,03-10,03-31,11-01
Wood Thrush,04-30,05-21,07-08
American Coot,04-10,04-21,05-06
Yellow-billed Cuckoo,05-14,05-31,07-07
Yellow-bellied Flycatcher,05-14,05-21,05-30
Yellow-bellied Sapsucker,04-05,05-07,07-05
Yellow Rail,05-15,05-21,05-30
Yellow Warbler,04-27,05-21,08-09
Yellow-rumped Warbler,04-16,05-07,05-30
Yellow-throated Vireo,05-09,05-31,06-06
Yellow-throated Warbler,05-01,05-07,05-13
