Species,Mass Arrival Date,Peak Date,Peak Over Date
Northern Mockingbird,05-01,05-07,06-01
Northern Parula,05-01,05-14,08-03
Northern Pintail,03-08,03-14,05-07
Northern Shoveler,04-13,05-21,08-01
Northern Shrike,03-21,03-21,03-21
Northern Waterthrush,05-02,05-21,07-27
Northern Rough-winged Swallow,04-29,05-07,07-29
Nelson's Sparrow,05-15,05-21,05-30
Northern Saw-whet Owl,03-16,03-31,04-13
Olive-sided Flycatcher,05-14,05-31,07-07
Orange-crowned Warbler,05-04,05-14,05-23
Osprey,04-03,05-14,09-06
Ovenbird,05-02,05-14,07-21
Palm Warbler,04-26,05-14,06-23
Pectoral Sandpiper,05-08,05-14,06-01
Peregrine Falcon,04-15,04-30,06-03
Philadelphia Vireo,05-14,05-21,09-12
Pied-billed Grebe,03-31,04-21,05-07
Pileated Woodpecker,03-15,04-07,04-26
Pine Grosbeak,02-28,02-28,02-28
Pine Siskin,03-12,04-07,04-26
Pine Warbler,04-25,05-07,09-19
Piping Plover,05-15,05-21,06-06
Purple Finch,03-26,04-21,05-19
Purple Martin,04-30,05-31,08-27
Red-breasted Merganser,04-14,04-30,05-15
Red-breasted Nuthatch,02-13,02-28,03-02
Red-bellied Woodpecker,05-19,05-31,06-04
Red Crossbill,04-14,04-14,04-14
Redhead,04-05,04-14,06-12
Red Knot,05-15,05-21,05-30
Redpoll,02-28,02-28,02-28
Red-eyed Vireo,05-14,05-31,09-08
Red-headed Woodpecker,05-14,05-31,07-12
Red-necked Grebe,04-15,04-30,05-18
Red-necked Phalarope,05-16,05-31,06-06
Red-shouldered Hawk,04-22,04-30,05-06
Red-tailed Hawk,04-14,05-31,11-04
Red-winged Blackbird,03-20,05-14,08-16
Ring-billed Gull,03-15,04-30,11-21
Ring-necked Duck,04-01,04-30,06-16
Rose-breasted Grosbeak,05-02,05-14,07-14
Rock Pigeon,02-18,03-07,03-25
Rough-legged Hawk,04-07,04-14,04-20
Ross's Goose,04-08,04-14,04-20
Ruby-throated Hummingbird,05-07,05-14,09-07
Ruby-crowned Kinglet,04-08,04-30,06-21
Ruddy Duck,04-29,05-31,08-11
Ruddy Turnstone,05-01,05-07,05-13
Ruffed Grouse,03-31,04-21,05-24
Rusty Blackbird,04-07,04-21,05-05
Sandhill Crane,03-23,04-21,09-18
Sanderling,05-02,05-14,06-17
Savannah Sparrow,04-19,05-31,08-07
Scarlet Tanager,05-10,05-21,05-31
Sedge Wren,05-02,05-21,08-06
Semipalmated Plover,05-09,05-21,06-06
Semipalmated Sandpiper,05-15,05-21,06-10
Short-billed Dowitcher,05-01,05-07,05-28
Short-eared Owl,05-21,05-31,06-10
Sharp-shinned Hawk,03-23,03-31,04-06
Sharp-tailed Grouse,03-04,03-07,03-12
Snow Bunting,03-13,03-14,03-15
Snowy Owl,02-28,02-28,02-28
Solitary Sandpiper,04-25,05-14,05-21
Song Sparrow,04-02,04-21,10-02
Sora,04-29,05-21,07-25
Spotted Sandpiper,04-30,05-21,09-12
Spruce Grouse,04-13,04-14,04-15
Stilt Sandpiper,05-16,05-31,06-06
Swainson's Hawk,05-23,05-31,06-06
Swamp Sparrow,04-20,05-07,08-27
Swainson's Thrush,05-07,05-21,08-01
Tennessee Warbler,05-08,05-21,06-15
Tree Swallow,04-14,05-21,07-18
Trumpeter Swan,03-02,04-07,05-26
