Species,Mass Arrival Date,Peak Date,Peak Over Date
Mourning Warbler,05-08,05-14,05-30
Muscovy Duck,02-28,02-28,02-28
Mute Swan,03-14,03-14,03-14
Nashville Warbler,04-22,05-07,05-20
Northern Cardinal,03-11,04-21,06-07
Northern Flicker,03-22,04-21,11-04
American Goshawk,02-28,02-28,02-28
Northern Harrier,03-07,03-07,03-07
Northern Mockingbird,04-20,04-21,04-22
Northern Parula,04-24,05-07,05-20
Northern Pintail,02-26,03-07,04-22
Northern Shoveler,03-04,05-14,06-04
Northern Shrike,02-28,02-28,02-28
Northern Waterthrush,04-18,05-07,05-30
Northern Rough-winged Swallow,04-10,05-14,09-12
Northern Saw-whet Owl,02-28,02-28,02-28
Olive-sided Flycatcher,05-15,05-21,05-29
Orchard Oriole,04-25,05-21,08-06
Orange-crowned Warbler,04-18,05-07,05-22
Osprey,03-26,05-07,05-31
Ovenbird,04-25,05-07,05-21
Pacific Loon,05-01,05-07,05-13
Palm Warbler,04-19,04-30,05-17
Pectoral Sandpiper,04-06,04-21,04-30
Peregrine Falcon,03-16,03-21,04-06
Philadelphia Vireo,05-01,05-14,05-30
Pied-billed Grebe,03-21,04-07,05-03
Pileated Woodpecker,03-28,04-07,04-28
Pine Siskin,04-23,04-30,05-08
Pine Warbler,04-04,04-30,05-13
Purple Finch,04-07,04-14,05-08
Purple Martin,04-05,05-14,08-28
Red-breasted Merganser,04-02,04-30,05-07
Red-breasted Nuthatch,04-25,04-30,05-06
Red-bellied Woodpecker,03-22,04-21,05-22
Red Crossbill,03-04,03-07,03-10
Redhead,03-04,03-14,03-25
Red Knot,05-02,05-14,05-21
Redpoll,03-07,03-07,03-07
Red-eyed Vireo,05-05,05-21,08-07
Red-headed Woodpecker,04-24,05-14,06-06
Red-necked Grebe,02-22,02-28,03-06
Red-necked Phalarope,05-08,05-14,05-20
Red-shouldered Hawk,04-07,04-07,04-07
Red-tailed Hawk,02-28,02-28,02-28
Red-throated Loon,04-30,04-30,04-30
Red-winged Blackbird,02-23,04-30,08-19
Ring-billed Gull,02-25,04-07,06-05
Ring-necked Duck,03-01,03-14,04-30
Rose-breasted Grosbeak,04-22,05-07,09-24
Rock Pigeon,03-26,03-31,04-09
Rough-legged Hawk,02-28,02-28,02-28
Ross's Goose,03-07,03-07,03-07
Ruby-throated Hummingbird,04-28,05-21,09-27
Ruby-crowned Kinglet,04-03,04-21,05-14
Ruddy Duck,03-07,05-14,06-07
Ruddy Turnstone,05-04,05-14,06-07
Ruffed Grouse,04-17,04-30,05-12
Rusty Blackbird,03-20,04-21,05-08
