Species,Mass Arrival Date,Peak Date,Peak Over Date
Gray-cheeked Thrush,04-26,05-14,05-28
Gyrfalcon,02-28,02-28,02-28
Hairy Woodpecker,04-07,04-07,04-07
Harlequin Duck,04-21,04-21,04-21
Harris's Sparrow,04-15,04-21,04-30
Helmeted Guineafowl,04-22,04-30,05-06
Henslow's Sparrow,04-08,04-14,05-03
Hermit Thrush,03-30,04-21,05-10
Hooded Merganser,03-13,03-21,03-22
Hooded Warbler,04-16,04-30,05-19
Horned Grebe,03-08,03-31,05-11
Horned Lark,02-17,02-28,03-05
House Finch,02-28,02-28,02-28
House Sparrow,02-28,02-28,02-28
Northern House Wren,04-14,05-14,10-05
Hudsonian Godwit,04-08,04-14,04-20
Indigo Bunting,04-25,05-14,08-22
Ivory Gull,02-28,02-28,02-28
Kentucky Warbler,04-17,05-07,05-18
Killdeer,02-21,03-21,11-04
King Eider,03-09,03-14,03-19
King Rail,04-18,05-07,05-19
Kirtland's Warbler,04-26,05-07,05-19
Lady Amherst's Pheasant,05-01,05-07,05-13
Lapland Longspur,03-14,03-14,03-14
Lark Bunting,05-01,05-07,05-13
Lark Sparrow,05-22,05-31,06-28
Laughing Gull,05-07,05-14,05-21
Lesser Black-backed Gull,05-03,05-07,05-19
Least Bittern,04-27,05-21,09-07
Least Flycatcher,04-23,05-14,05-28
Least Sandpiper,04-24,05-14,06-02
LeConte's Sparrow,05-01,05-07,05-13
Lesser Scaup,03-03,03-31,05-02
Lesser Yellowlegs,04-03,04-30,05-21
Little Blue Heron,05-10,05-31,06-06
Lincoln's Sparrow,04-21,05-07,05-21
Little Gull,04-24,05-31,07-14
Long-billed Dowitcher,04-15,04-30,05-07
Long-eared Owl,03-07,03-07,03-07
Loggerhead Shrike,04-22,04-30,05-10
Long-tailed Duck,02-28,02-28,02-28
Louisiana Waterthrush,03-25,04-21,05-10
Magnolia Warbler,04-26,05-14,05-25
Mallard,02-21,03-21,04-25
Mandarin Duck,04-08,04-14,04-20
Marbled Godwit,04-15,04-21,05-02
Marsh Wren,04-16,04-30,10-19
Merlin,04-08,04-30,05-14
Short-billed Gull,03-01,03-07,03-13
Mississippi Kite,05-01,05-14,05-21
Mottled Duck,04-26,05-14,06-05
Mourning Dove,02-28,05-31,10-01
Mourning Warbler,05-02,05-14,05-29
Muscovy Duck,03-06,03-07,03-08
Mute Swan,02-19,02-28,03-02
Nashville Warbler,04-18,05-07,05-20
Neotropic Cormorant,05-03,05-14,06-04
Northern Cardinal,03-02,04-14,08-27
Northern Flicker,03-16,04-14,11-22
American Goshawk,04-06,04-07,04-08
Northern Harrier,04-21,04-21,04-21
Northern Mockingbird,04-22,05-07,05-19
Northern Parula,04-23,05-07,05-21
Northern Pintail,02-19,03-14,04-05
Northern Shoveler,02-24,03-21,05-10
Northern Shrike,02-28,02-28,02-28
