Species,Mass Arrival Date,Peak Date,Peak Over Date
Least Sandpiper,04-29,05-14,05-30
Lesser Scaup,03-07,03-14,04-21
Lesser Yellowlegs,04-08,04-30,05-21
Little Blue Heron,04-08,04-14,04-20
Lincoln's Sparrow,04-25,05-07,05-24
Little Gull,03-21,03-21,03-21
Long-billed Dowitcher,04-15,04-21,04-29
Long-eared Owl,02-28,02-28,02-28
Long-tailed Duck,03-07,03-07,03-07
Louisiana Waterthrush,04-22,04-30,05-06
Magnolia Warbler,05-01,05-14,05-26
Mallard,03-10,03-14,03-25
Mandarin Duck,02-28,02-28,02-28
Marbled Godwit,04-22,04-30,05-06
Marsh Wren,04-16,05-31,10-03
Merlin,03-15,04-21,05-03
Common Gull,02-28,02-28,02-28
Mississippi Kite,05-09,05-21,05-29
Mourning Dove,03-06,04-30,09-30
Mourning Warbler,05-07,05-21,06-04
Muscovy Duck,03-07,03-07,03-07
Mute Swan,03-05,03-07,03-13
Nashville Warbler,04-21,05-07,05-20
Northern Hawk Owl,02-28,02-28,02-28
Northern Bobwhite,05-01,05-07,05-13
Northern Cardinal,03-08,04-30,07-13
Northern Flicker,03-19,04-21,10-13
American Goshawk,03-10,04-14,04-21
Northern Harrier,03-15,03-21,04-25
Northern Mockingbird,05-29,05-31,06-02
Northern Parula,04-24,05-07,05-21
Northern Pintail,02-18,02-28,03-08
Northern Shoveler,03-03,03-14,04-27
Northern Shrike,03-07,03-07,03-07
Northern Waterthrush,04-21,04-30,05-26
Northern Rough-winged Swallow,04-06,05-14,09-01
Northern Saw-whet Owl,02-20,02-28,03-05
Olive-sided Flycatcher,05-05,05-21,06-04
Orchard Oriole,04-23,05-14,07-20
Orange-crowned Warbler,04-21,05-07,05-21
Osprey,03-20,04-14,09-21
Ovenbird,04-24,05-14,05-31
Palm Warbler,04-17,04-30,05-17
Pectoral Sandpiper,03-17,04-14,04-30
Peregrine Falcon,03-17,03-21,03-26
Philadelphia Vireo,05-04,05-14,05-29
Pied-billed Grebe,03-22,04-14,05-02
Pileated Woodpecker,03-23,04-21,06-16
Pine Siskin,04-22,04-30,05-04
Pine Warbler,04-07,04-21,05-11
Piping Plover,05-15,05-21,05-30
Prairie Warbler,04-22,04-30,05-20
Prothonotary Warbler,05-08,05-14,05-20
Purple Finch,03-31,04-14,07-12
Purple Martin,04-05,05-31,09-02
Purple Sandpiper,03-18,03-21,03-25
Razorbill,03-21,03-21,03-21
Red-breasted Merganser,04-07,04-07,04-07
Red-breasted Nuthatch,04-27,04-30,05-03
Red-bellied Woodpecker,03-15,04-30,05-24
Red Crossbill,03-17,03-31,04-06
Redhead,02-24,02-28,03-11
Red Knot,05-14,05-21,06-05
Redpoll,03-07,03-07,03-07
Red-eyed Vireo,05-05,05-21,07-29
Red-headed Woodpecker,04-24,05-14,09-04
Red-necked Grebe,03-18,04-07,04-12
Red-shouldered Hawk,03-02,03-21,04-09
Red-tailed Hawk,02-23,03-21,04-05
Red-throated Loon,02-25,02-28,03-08
Red-winged Blackbird,02-23,04-30,08-19
Ring-billed Gull,02-27,04-07,05-29
Ring-necked Duck,02-27,03-14,04-21
Rose-breasted Grosbeak,04-23,05-07,08-29
Rock Pigeon,02-28,02-28,02-28
Rough-legged Hawk,03-12,03-21,03-28
Ross's Goose,02-28,02-28,02-28
Ruby-throated Hummingbird,04-27,05-31,10-02
Ruby-crowned Kinglet,04-05,04-30,05-14
Ruddy Duck,03-14,04-14,04-23
Ruddy Turnstone,05-09,05-21,06-06
Rusty Blackbird,03-23,04-07,05-10
Sage Thrasher,02-28,02-28,02-28
Sandhill Crane,02-24,03-21,04-27
Sanderling,05-10,05-21,06-03
Savannah Sparrow,04-03,05-31,08-12
Scarlet Tanager,05-01,05-14,06-05
Sedge Wren,04-15,04-21,05-06
Semipalmated Plover,05-06,05-21,06-08
Semipalmated Sandpiper,05-09,05-21,06-11
Short-billed Dowitcher,05-02,05-14,06-03
Short-eared Owl,02-28,02-28,02-28
Sharp-shinned Hawk,03-09,04-14,05-02
Slaty-backed Gull,02-28,02-28,02-28
Snow Bunting,02-28,02-28,02-28
Snowy Egret,04-22,04-30,05-06
Snow Goose,02-25,02-28,03-03
Snowy Owl,02-28,02-28,02-28
Solitary Sandpiper,04-14,05-07,05-20
Song Sparrow,03-05,05-31,10-21
Sora,04-01,04-30,06-13
Spotted Sandpiper,04-17,05-21,09-17
Stilt Sandpiper,05-08,05-14,05-20
Summer Tanager,05-01,05-07,05-14
Surf Scoter,02-28,02-28,02-28
Swan Goose,02-22,02-28,03-06
Swamp Sparrow,04-02,04-30,11-02
Swainson's Thrush,05-02,05-14,05-28
Tennessee Warbler,05-02,05-14,05-25
Townsend's Solitaire,02-28,02-28,02-28
Tree Swallow,03-24,04-30,08-22
Tricolored Heron,04-21,04-30,05-06
Trumpeter Swan,02-28,02-28,02-28
Tufted Titmouse,04-17,05-07,05-14
Tundra Swan,02-20,02-28,03-13
Turkey Vulture,03-01,03-31,10-28
Upland Sandpiper,04-14,04-21,04-30
Veery,04-25,05-14,06-05
Vesper Sparrow,03-23,04-07,05-04
Virginia Rail,03-31,04-14,10-01
Warbling Vireo,04-25,05-14,07-23
Western Grebe,02-22,02-28,03-10
White-breasted Nuthatch,03-14,03-14,03-14
White-crowned Sparrow,04-21,05-07,05-16
White-eyed Vireo,04-22,04-30,05-06
Whimbrel,05-14,05-21,05-30
White-rumped Sandpiper,05-11,05-31,06-14
White-throated Sparrow,04-09,04-30,05-13
White-winged Crossbill,03-31,03-31,03-31
White-winged Scoter,03-04,03-07,03-08
Willow Flycatcher,05-08,05-31,08-15
Willet,04-15,04-30,05-06
Wilson's Phalarope,05-08,05-14,05-29
Wilson's Snipe,03-10,03-31,04-30
Wild Turkey,04-03,04-14,05-26
Winter Wren,03-22,04-07,05-08
Wilson's Warbler,05-04,05-14,05-30
Worm-eating Warbler,04-30,05-07,05-13
Wood Duck,03-03,04-14,10-30
Wood Thrush,04-23,05-14,07-16
American Coot,03-20,04-14,04-24
Iceland Gull,03-14,03-14,03-14
Yellow-crowned Night Heron,05-15,05-21,05-30
Yellow-breasted Chat,05-17,05-31,06-06
Yellow-billed Cuckoo,05-12,05-31,07-06
Yellow-bellied Flycatcher,05-08,05-21,06-05
Yellow-bellied Sapsucker,03-26,04-07,04-25
Yellow-headed Blackbird,04-22,04-30,05-06
Yellow Warbler,04-22,05-14,08-18
Yellow-rumped Warbler,04-09,04-30,05-20
Yellow-throated Vireo,04-26,05-21,07-06
Yellow-throated Warbler,04-15,04-21,05-05
