Species,Mass Arrival Date,Peak Date,Peak Over Date
Northern Bobwhite,04-15,04-21,04-29
Northern Cardinal,03-01,04-30,08-07
Northern Flicker,03-27,04-21,10-18
American Goshawk,03-03,03-07,03-13
Northern Harrier,04-27,04-30,05-01
Northern Mockingbird,04-11,04-30,06-07
Northern Parula,04-26,05-14,05-21
Northern Pintail,02-19,03-07,03-17
Northern Shoveler,04-01,04-07,04-14
Northern Shrike,03-14,03-14,03-14
Northern Waterthrush,04-20,05-14,06-21
Northern Rough-winged Swallow,04-10,05-21,08-08
Northern Saw-whet Owl,02-19,02-28,03-05
Olive-sided Flycatcher,05-08,05-21,06-10
Orchard Oriole,04-29,05-14,07-24
Orange-crowned Warbler,04-28,05-07,05-19
Osprey,04-01,05-14,10-25
Ovenbird,04-23,05-14,07-10
Palm Warbler,04-18,04-30,05-18
Pectoral Sandpiper,04-02,04-14,04-21
Peregrine Falcon,03-14,03-14,03-14
Philadelphia Vireo,05-05,05-14,05-28
Pied-billed Grebe,03-10,03-31,05-01
Pileated Woodpecker,04-04,04-30,06-18
Pine Grosbeak,03-05,03-07,03-09
Pine Siskin,04-16,04-30,05-07
Pine Warbler,04-07,04-21,07-14
Prairie Warbler,04-23,05-07,05-20
Prothonotary Warbler,05-08,05-14,05-20
Purple Finch,04-07,04-21,07-08
Purple Martin,04-08,05-21,08-28
Red-breasted Merganser,03-26,03-31,04-07
Red-breasted Nuthatch,05-07,05-07,05-07
Red-bellied Woodpecker,03-28,04-30,05-29
Red Crossbill,03-14,03-14,03-14
Redhead,02-24,02-28,03-01
Red Knot,05-15,05-21,06-05
Redpoll,03-07,03-07,03-07
Red-eyed Vireo,05-05,05-21,09-24
Red-headed Woodpecker,04-26,05-14,05-21
Red-necked Grebe,03-07,03-31,05-30
Red-shouldered Hawk,02-27,03-07,03-10
Red-tailed Hawk,03-08,03-14,03-18
Red-throated Loon,05-09,05-14,05-19
Red-winged Blackbird,02-23,04-30,08-23
Ring-billed Gull,02-24,03-21,05-07
Ring-necked Duck,02-23,03-21,04-14
Rose-breasted Grosbeak,04-25,05-07,07-09
Rock Pigeon,03-12,03-21,03-28
Rough-legged Hawk,03-14,03-14,03-14
Ross's Goose,03-21,03-21,03-21
Ruby-throated Hummingbird,04-30,05-21,09-27
Ruby-crowned Kinglet,04-08,04-21,05-15
Ruddy Duck,03-12,04-07,04-26
Ruddy Turnstone,05-15,05-21,05-31
Ruffed Grouse,04-01,04-14,06-18
Rusty Blackbird,03-17,04-30,05-10
Sandhill Crane,03-04,03-14,04-21
Sanderling,05-14,05-21,06-02
Savannah Sparrow,04-05,05-31,08-06
Scarlet Tanager,05-01,05-14,06-17
Sedge Wren,05-23,05-31,06-11
Semipalmated Plover,05-07,05-21,06-07
Semipalmated Sandpiper,05-12,05-31,06-13
Short-billed Dowitcher,05-09,05-31,06-14
