Species,Mass Arrival Date,Peak Date,Peak Over Date
Northern Cardinal,02-25,04-30,05-28
Northern Flicker,03-31,04-30,10-08
American Goshawk,05-18,05-21,05-25
Northern Harrier,03-15,04-14,05-19
Northern Mockingbird,04-14,04-14,04-14
Northern Parula,04-27,05-14,05-21
Northern Pintail,03-01,03-21,04-26
Northern Shoveler,03-22,04-14,06-03
Northern Shrike,03-07,03-07,03-07
Northern Waterthrush,04-19,05-14,08-07
Northern Rough-winged Swallow,04-09,04-30,08-13
Nelson's Sparrow,05-22,05-31,06-06
Northern Saw-whet Owl,02-28,02-28,02-28
Olive-sided Flycatcher,05-08,05-21,06-07
Orchard Oriole,04-30,05-31,06-17
Orange-crowned Warbler,05-02,05-14,05-23
Osprey,03-24,04-14,09-26
Ovenbird,04-27,05-31,07-20
Palm Warbler,04-19,04-30,05-18
Pectoral Sandpiper,04-17,05-14,05-26
Peregrine Falcon,02-28,02-28,02-28
Philadelphia Vireo,05-07,05-14,05-28
Pied-billed Grebe,03-07,03-31,05-03
Pileated Woodpecker,03-23,04-30,07-02
Pine Grosbeak,02-28,02-28,02-28
Pine Siskin,02-11,03-07,03-17
Pine Warbler,04-08,04-30,08-06
Prairie Warbler,04-22,04-30,05-06
Purple Finch,04-05,04-30,10-30
Purple Martin,04-11,05-21,08-26
Red-breasted Merganser,02-28,02-28,02-28
Red-breasted Nuthatch,04-28,04-30,05-03
Red-bellied Woodpecker,04-21,05-07,05-22
Red Crossbill,04-07,04-07,04-07
Redhead,03-01,03-14,04-16
Redpoll,02-28,02-28,02-28
Red-eyed Vireo,05-08,05-31,09-19
Red-headed Woodpecker,05-02,05-14,09-08
Red-necked Grebe,02-25,04-14,04-18
Red-necked Phalarope,05-08,05-21,05-30
Red-shouldered Hawk,03-05,03-31,11-06
Red-tailed Hawk,03-14,03-14,03-14
Red-throated Loon,05-15,05-21,05-30
Red-winged Blackbird,02-27,04-30,10-31
Ring-billed Gull,02-26,03-31,12-17
Ring-necked Duck,02-27,03-14,05-02
Ring-necked Pheasant,05-21,05-21,05-21
Rose-breasted Grosbeak,04-26,05-14,09-18
Rock Pigeon,03-07,03-07,03-07
Rough-legged Hawk,02-28,02-28,02-28
Ross's Goose,03-15,03-21,03-30
Ruby-throated Hummingbird,05-01,05-31,09-13
Ruby-crowned Kinglet,04-08,04-21,05-12
Ruddy Duck,05-09,05-14,05-27
Ruffed Grouse,03-25,04-14,05-30
Rusty Blackbird,03-26,04-30,05-12
Sandhill Crane,03-01,03-31,07-14
Savannah Sparrow,04-04,04-30,08-05
Scarlet Tanager,05-03,05-21,09-26
Sedge Wren,05-15,05-31,06-30
Semipalmated Plover,05-01,05-14,05-30
Semipalmated Sandpiper,05-09,05-21,05-30
Short-billed Dowitcher,05-01,05-07,05-25
Short-eared Owl,03-07,03-07,03-07
Sharp-shinned Hawk,04-12,04-14,04-18
Slaty-backed Gull,02-28,02-28,02-28
Snow Bunting,02-28,02-28,02-28
Snow Goose,02-20,03-14,03-26
Snowy Owl,03-14,03-14,03-14
Solitary Sandpiper,04-23,05-07,05-19
Song Sparrow,03-12,05-14,10-21
Sora,04-09,05-07,06-18
