Red-throated Loon, 04-06
Red-winged Blackbird, 02-24
Ring-billed Gull, 02-23
Ring-necked Duck, 03-01
Rose-breasted Grosbeak, 04-26
Rough-legged Hawk, 02-28
Ross's Goose, 03-14
Ruby-throated Hummingbird, 04-30
Ruby-crowned Kinglet, 04-05
Ruddy Duck, 03-02
Ruddy Turnstone, 05-12
Ruff, 01-01
Ruffed Grouse, 05-19
Rusty Blackbird, 04-06
Sandhill Crane, 03-07
Sanderling, 05-14
Savannah Sparrow, 04-03
Scarlet Tanager, 05-03
Grass Wren, 01-01
Sedge Wren, 05-01
Semipalmated Plover, 05-08
Semipalmated Sandpiper, 05-13
Short-billed Dowitcher, 05-07
Short-eared Owl, 04-14
Sharp-shinned Hawk, 03-30
Snow Bunting, 03-07
Snow Goose, 04-08
Snowy Owl, 02-25
Solitary Sandpiper, 04-21
Song Sparrow, 03-05
Sora, 04-15
Spotted Sandpiper, 04-21
Stilt Sandpiper, 01-01
Surf Scoter, 02-23
Swamp Sparrow, 04-06
Swainson's Thrush, 05-02
Tennessee Warbler, 05-04
Tree Swallow, 03-23
Trumpeter Swan, 03-03
Tufted Titmouse, 04-13
Tundra Swan, 03-01
Turkey Vulture, 03-10
Upland Sandpiper, 05-15
Veery, 04-27
Vesper Sparrow, 03-24
Virginia Rail, 03-30
Warbling Vireo, 04-25
Western Grebe, 02-22
Western Sandpiper, 05-15
Western Wood-Pewee, 01-01
White-breasted Nuthatch, 02-28
White-crowned Sparrow, 04-23
White-eyed Vireo, 04-08
Whimbrel, 05-12
White-rumped Sandpiper, 05-14
White-throated Sparrow, 04-11
White-winged Crossbill, 03-14
Velvet/White-winged/Stejneger's Scoter, 01-01
White-winged Scoter, 02-18
Willow Flycatcher, 05-09
Willet, 04-21
Wilson's Phalarope, 05-01
Wilson's Snipe, 03-18
Wild Turkey, 05-21
Pacific/Winter Wren, 01-01
Winter Wren, 03-22
Wilson's Warbler, 05-06
Wood Duck, 03-06
Wood Thrush, 04-23
American Coot, 02-21
Iceland Gull, 04-10
Yellow-crowned Night-Heron, 05-11
Yellow-breasted Chat, 04-22
Yellow-billed Cuckoo, 05-15
Yellow-bellied Flycatcher, 05-09
Yellow-bellied Sapsucker, 03-27
Yellow Rail, 05-01
Yellow Warbler, 04-23
Yellow-rumped Warbler, 04-09
Yellow-throated Vireo, 04-25
