Species,Mass Arrival Date,Peak Date,Peak Over Date
Northern Waterthrush,04-22,05-31,07-14
Northern Rough-winged Swallow,04-14,04-30,07-12
Northern Saw-whet Owl,03-31,04-07,04-16
Olive-sided Flycatcher,05-05,05-31,06-27
Orchard Oriole,04-27,05-14,06-05
Orange-crowned Warbler,05-01,05-07,05-13
Osprey,03-21,04-07,09-16
Ovenbird,04-27,05-31,07-16
Palm Warbler,04-21,04-30,05-18
Pectoral Sandpiper,04-03,04-21,04-29
Peregrine Falcon,02-28,02-28,02-28
Philadelphia Vireo,05-07,05-14,06-05
Pied-billed Grebe,03-06,03-31,06-28
Pileated Woodpecker,03-16,04-30,06-06
Pine Grosbeak,02-28,02-28,02-28
Pine Siskin,02-10,03-07,04-05
Pine Warbler,04-10,05-31,07-20
Purple Finch,04-08,05-07,07-27
Purple Martin,04-22,05-21,08-20
Red-breasted Merganser,03-02,03-14,03-24
Red-breasted Nuthatch,03-02,03-14,03-19
Red-bellied Woodpecker,05-02,05-07,05-09
Red Crossbill,02-18,02-28,03-03
Redhead,02-21,03-14,03-25
Redpoll,03-06,03-07,03-08
Red-eyed Vireo,05-09,05-31,09-12
Red-headed Woodpecker,05-02,05-14,06-30
Red-necked Grebe,03-20,03-21,03-22
Red-shouldered Hawk,02-27,03-31,06-27
Red-tailed Hawk,03-11,03-14,03-16
Red-winged Blackbird,02-27,04-30,08-13
Ring-billed Gull,03-02,04-07,06-07
Ring-necked Duck,03-01,04-07,05-06
Rose-breasted Grosbeak,04-26,05-14,09-18
Rock Pigeon,03-07,03-07,03-07
Rough-legged Hawk,02-28,02-28,02-28
Ross's Goose,02-28,02-28,02-28
Ruby-throated Hummingbird,05-01,05-14,09-17
Ruby-crowned Kinglet,04-10,04-30,05-12
Ruddy Duck,04-18,04-30,05-06
Ruddy Turnstone,05-15,05-21,05-30
Ruffed Grouse,03-30,04-30,05-26
Rusty Blackbird,04-01,04-21,05-07
Sandhill Crane,03-11,03-31,05-05
Savannah Sparrow,04-02,04-30,08-16
Scarlet Tanager,05-03,05-14,07-27
Semipalmated Plover,05-02,05-14,06-03
Semipalmated Sandpiper,05-10,05-21,06-05
Short-billed Dowitcher,05-04,05-14,05-27
Short-eared Owl,02-22,02-28,03-06
Sharp-shinned Hawk,04-07,04-07,04-07
Snow Bunting,02-28,02-28,02-28
Snow Goose,02-28,03-07,03-25
Snowy Owl,04-07,04-07,04-07
Solitary Sandpiper,04-30,05-14,05-20
Song Sparrow,03-10,05-31,10-26
Sora,04-15,04-30,06-19
Spotted Sandpiper,04-21,05-14,09-29
Surf Scoter,03-15,03-21,03-30
Swamp Sparrow,04-04,04-30,10-18
Swainson's Thrush,05-03,05-14,05-31
Tennessee Warbler,05-02,05-14,05-28
Tree Swallow,03-28,04-30,07-12
Trumpeter Swan,02-28,02-28,02-28
Tufted Titmouse,02-28,02-28,02-28
Tundra Swan,02-20,02-28,03-06
Turkey Vulture,03-10,04-14,10-24
Upland Sandpiper,04-14,04-30,08-11
Varied Thrush,02-23,03-07,03-13
Veery,05-09,05-31,07-21
Vesper Sparrow,03-30,04-21,08-10
Virginia Rail,04-05,05-14,10-06
Warbling Vireo,04-27,05-21,08-06
White-breasted Nuthatch,02-28,02-28,02-28
White-crowned Sparrow,04-22,05-07,05-20
Whimbrel,05-15,05-21,05-29
White-rumped Sandpiper,05-18,05-31,06-06
White-throated Sparrow,04-12,04-30,07-12
White-winged Crossbill,02-28,02-28,02-28
White-winged Scoter,03-09,03-14,03-22
Willow Flycatcher,05-14,05-31,08-04
Wilson's Phalarope,05-01,05-14,05-20
Wilson's Snipe,03-25,04-14,07-10
Wild Turkey,04-09,04-21,05-07
Winter Wren,03-27,04-30,07-28
Wilson's Warbler,05-02,05-14,05-31
Wood Duck,03-17,04-14,06-19
Wood Thrush,04-26,05-14,07-27
American Coot,03-11,03-14,03-22
Iceland Gull,03-21,03-21,03-21
Yellow-billed Cuckoo,05-05,05-21,08-21
Yellow-bellied Flycatcher,05-18,05-31,06-06
Yellow-bellied Sapsucker,04-01,04-30,10-06
Yellow-headed Blackbird,04-22,04-30,05-06
Yellow Warbler,04-25,05-21,08-07
Yellow-rumped Warbler,04-17,04-30,07-15
Yellow-throated Vireo,04-30,05-31,07-20
