Species,Mass Arrival Date,Peak Date,Peak Over Date
Northern Harrier,03-06,04-14,05-27
Northern Mockingbird,04-21,04-30,05-18
Northern Parula,04-30,05-14,05-21
Northern Pintail,03-04,03-21,04-12
Northern Shoveler,03-10,03-31,04-14
Northern Shrike,03-07,03-07,03-07
Northern Waterthrush,04-19,05-14,07-09
Northern Rough-winged Swallow,04-12,04-30,08-07
Northern Saw-whet Owl,03-11,03-14,03-18
Olive-sided Flycatcher,05-08,05-21,06-15
Orchard Oriole,04-15,04-21,07-06
Orange-crowned Warbler,04-30,05-14,05-20
Osprey,03-24,04-21,09-26
Ovenbird,04-27,05-31,07-18
Palm Warbler,04-21,04-30,05-16
Pectoral Sandpiper,04-15,04-30,05-07
Peregrine Falcon,03-16,03-21,03-28
Philadelphia Vireo,05-07,05-21,05-31
Pied-billed Grebe,03-17,04-30,11-13
Pileated Woodpecker,03-31,04-30,06-27
Pine Grosbeak,02-21,02-28,03-03
Pine Siskin,02-15,02-28,03-05
Pine Warbler,04-07,04-30,09-25
Prairie Warbler,05-15,05-31,07-09
Purple Finch,04-08,04-30,05-12
Purple Martin,04-14,05-31,08-19
Red-breasted Merganser,03-12,03-21,03-26
Red-breasted Nuthatch,05-07,05-07,05-07
Red-bellied Woodpecker,04-30,04-30,04-30
Red Crossbill,02-28,02-28,02-28
Redhead,02-27,03-21,04-04
Red Knot,05-15,05-21,05-30
Redpoll,02-28,02-28,02-28
Red-eyed Vireo,05-05,05-31,09-18
Red-headed Woodpecker,03-06,03-07,03-16
Red-necked Grebe,04-07,04-07,04-07
Red-shouldered Hawk,03-07,04-07,10-12
Red-tailed Hawk,03-07,03-07,03-07
Red-throated Loon,05-01,05-07,05-13
Red-winged Blackbird,02-27,04-30,08-17
Ring-billed Gull,03-01,04-07,05-21
Ring-necked Duck,03-04,03-31,04-30
Rose-breasted Grosbeak,04-25,05-14,08-13
Rock Pigeon,02-28,02-28,02-28
Rough-legged Hawk,03-06,03-07,03-08
Ross's Goose,03-08,03-21,03-30
Ruby-throated Hummingbird,05-01,05-14,09-18
Ruby-crowned Kinglet,04-08,04-21,05-12
Ruddy Duck,03-08,03-14,03-20
Ruddy Turnstone,05-15,05-21,06-06
Ruffed Grouse,03-23,04-14,05-29
Rusty Blackbird,03-22,04-21,05-07
Sandhill Crane,03-03,03-21,06-09
Sanderling,05-15,05-21,05-30
Savannah Sparrow,04-05,05-31,09-05
Scarlet Tanager,05-02,05-14,09-17
Semipalmated Plover,04-22,04-30,05-25
Semipalmated Sandpiper,05-11,05-21,05-30
Short-billed Dowitcher,05-08,05-14,05-20
Short-eared Owl,04-10,04-14,04-19
