Species,Mass Arrival Date,Peak Date,Peak Over Date
Laughing Gull,05-22,05-31,06-06
Lesser Black-backed Gull,04-07,04-07,04-07
Least Bittern,04-27,05-21,08-07
Least Flycatcher,04-28,05-14,06-10
Least Sandpiper,05-01,05-14,05-30
Lesser Scaup,03-02,03-14,04-21
Lesser Yellowlegs,04-18,05-07,05-22
Lincoln's Sparrow,04-25,05-14,05-25
Little Gull,05-15,05-21,06-25
Long-billed Dowitcher,04-15,04-21,04-29
Long-eared Owl,04-11,04-14,04-17
Long-tailed Duck,03-04,03-14,03-21
Louisiana Waterthrush,04-22,04-30,05-21
Magnolia Warbler,05-01,05-14,05-29
Mallard,02-25,03-21,05-31
Marbled Godwit,04-22,04-30,05-06
Marsh Wren,04-20,05-14,10-03
Merlin,03-22,04-30,06-04
Mourning Dove,04-01,04-30,08-25
Mourning Warbler,05-09,05-31,07-19
Muscovy Duck,05-08,05-14,05-20
Mute Swan,03-03,03-14,05-24
Nashville Warbler,04-21,05-07,06-08
Northern Hawk Owl,02-28,02-28,02-28
Northern Cardinal,04-14,04-30,05-18
Northern Flicker,03-29,04-21,10-12
American Goshawk,03-06,03-07,03-09
Northern Harrier,03-18,04-21,05-10
Northern Mockingbird,05-01,05-07,05-14
Northern Parula,04-25,05-14,05-23
Northern Pintail,03-03,03-21,04-01
Northern Shoveler,03-07,03-21,05-28
Northern Shrike,02-28,02-28,02-28
Northern Waterthrush,04-21,05-14,06-21
Northern Rough-winged Swallow,04-09,05-07,08-01
Nelson's Sparrow,05-22,05-31,06-06
Northern Saw-whet Owl,02-28,02-28,02-28
Olive-sided Flycatcher,05-05,05-21,06-09
Orchard Oriole,04-27,05-14,06-07
Orange-crowned Warbler,04-26,05-07,05-20
Osprey,03-25,05-14,09-29
Ovenbird,04-26,05-14,07-21
Pacific Loon,05-01,05-07,05-13
Palm Warbler,04-20,04-30,05-18
Pectoral Sandpiper,05-01,05-14,05-27
Peregrine Falcon,04-30,04-30,04-30
Philadelphia Vireo,05-04,05-14,05-29
Pied-billed Grebe,03-11,05-14,11-12
Pileated Woodpecker,03-14,04-30,06-14
Pine Grosbeak,02-28,02-28,02-28
Pine Siskin,02-13,02-28,03-13
Pine Warbler,04-08,04-30,07-19
Piping Plover,04-26,05-14,06-07
Prairie Warbler,05-15,05-21,05-30
Prothonotary Warbler,05-01,05-07,05-13
Purple Finch,04-13,04-30,05-13
Purple Martin,04-14,05-14,08-20
Purple Sandpiper,02-28,02-28,02-28
Red-breasted Merganser,03-07,04-30,05-13
Red-breasted Nuthatch,02-28,02-28,02-28
Red-bellied Woodpecker,04-22,05-07,05-19
Red Crossbill,03-07,03-31,04-22
Redhead,03-02,03-14,03-30
Red Knot,05-15,05-21,06-05
Red Phalarope,02-28,02-28,02-28
Redpoll,03-14,03-14,03-14
Red-eyed Vireo,05-05,05-31,09-26
Red-headed Woodpecker,04-26,05-14,09-06
Red-necked Grebe,03-09,04-14,05-01
Red-shouldered Hawk,04-30,05-07,05-14
Red-tailed Hawk,02-28,02-28,02-28
Red-throated Loon,04-01,04-30,06-01
Red-winged Blackbird,02-25,04-30,08-22
Ring-billed Gull,02-26,05-14,12-12
Ring-necked Duck,03-01,03-21,04-27
Rose-breasted Grosbeak,04-23,05-14,07-20
Rock Pigeon,03-07,03-07,03-07
Rough-legged Hawk,03-07,03-07,03-07
Ross's Goose,04-08,04-14,04-20
Ruby-throated Hummingbird,04-27,05-14,09-27
Ruby-crowned Kinglet,04-06,04-30,05-15
Ruddy Duck,03-12,03-14,03-23
Ruddy Shelduck,05-08,05-14,05-20
Ruddy Turnstone,05-11,05-21,06-06
Ruff,05-01,05-07,05-13
Ruffed Grouse,03-31,04-30,06-09
Rusty Blackbird,04-04,04-30,05-12
Sandhill Crane,03-09,04-21,05-29
Sanderling,05-11,05-21,06-04
Savannah Sparrow,04-05,05-31,08-02
Scarlet Tanager,05-01,05-14,07-10
Scissor-tailed Flycatcher,04-15,04-21,04-29
Sedge Wren,04-24,05-14,05-20
Semipalmated Plover,05-04,05-21,06-03
Semipalmated Sandpiper,05-10,05-21,06-06
Short-billed Dowitcher,05-04,05-21,05-30
Short-eared Owl,04-19,04-21,04-23
Sharp-shinned Hawk,04-15,04-21,04-28
Snow Bunting,02-28,02-28,02-28
Snowy Egret,04-08,04-14,04-22
Snow Goose,03-14,03-14,03-14
Snowy Owl,03-14,03-14,03-14
Solitary Sandpiper,04-24,05-07,05-19
Song Sparrow,03-09,05-14,10-29
Sora,04-10,05-07,05-30
Spotted Sandpiper,04-23,05-21,09-25
Summer Tanager,05-07,05-14,05-20
Surf Scoter,05-04,05-07,05-10
Swamp Sparrow,04-04,04-30,10-26
Swainson's Thrush,05-02,05-14,05-30
Tennessee Warbler,05-02,05-14,05-27
Townsend's Solitaire,04-15,04-21,05-04
Tree Swallow,03-30,04-30,08-11
Trumpeter Swan,02-18,02-28,03-04
Tufted Titmouse,05-04,05-14,05-21
Tundra Swan,02-19,03-14,03-22
Turkey Vulture,03-13,04-21,11-03
Upland Sandpiper,04-15,04-21,07-07
Veery,05-01,05-31,07-30
Vesper Sparrow,04-01,05-31,07-24
Virginia Rail,04-10,04-30,09-06
Warbling Vireo,04-25,05-14,07-31
Western Sandpiper,04-15,04-21,04-29
Western Tanager,04-22,04-30,05-06
White-breasted Nuthatch,02-28,02-28,02-28
White-crowned Sparrow,04-22,05-07,05-19
White-eyed Vireo,05-08,05-14,05-20
Whimbrel,05-11,05-21,05-31
White-rumped Sandpiper,05-10,05-21,06-07
White-throated Sparrow,04-14,04-30,05-15
White-winged Crossbill,02-28,02-28,02-28
White-winged Scoter,03-01,03-14,03-23
Willow Flycatcher,05-10,05-31,07-13
Willet,05-08,05-21,05-29
Wilson's Phalarope,04-28,05-14,06-05
Wilson's Plover,05-15,05-21,05-30
Wilson's Snipe,04-01,04-21,06-30
Wild Turkey,04-08,05-31,06-14
Winter Wren,03-23,04-30,07-27
Wilson's Warbler,05-06,05-21,05-31
Worm-eating Warbler,04-22,04-30,05-19
Wood Duck,03-08,04-14,11-04
Wood Thrush,04-26,05-14,07-25
American Coot,03-15,03-31,04-04
Iceland Gull,02-28,02-28,02-28
Yellow-billed Cuckoo,05-10,05-31,08-12
Yellow-bellied Flycatcher,05-12,05-21,06-03
Yellow-bellied Sapsucker,03-31,04-30,08-04
Yellow-headed Blackbird,05-08,05-14,05-20
Yellow Rail,04-16,05-07,05-20
Yellow Warbler,04-23,05-14,08-29
Yellow-rumped Warbler,04-13,04-30,05-21
Yellow-throated Vireo,04-26,05-14,07-04
Yellow-throated Warbler,05-14,05-14,05-14
