Species,Mass Arrival Date,Peak Date,Peak Over Date
Loggerhead Shrike,05-01,05-07,05-13
Long-tailed Duck,04-28,05-07,05-11
Magnolia Warbler,05-04,05-21,09-07
Mallard,03-14,04-21,05-27
Marbled Godwit,05-09,05-21,05-30
Marsh Wren,04-26,05-31,10-17
Merlin,03-22,04-21,06-02
Mourning Dove,05-07,05-07,05-07
Mourning Warbler,05-14,05-31,07-14
Mute Swan,05-01,05-07,07-27
Nashville Warbler,04-30,05-31,07-20
Northern Hawk Owl,03-14,03-14,03-14
Northern Cardinal,04-14,04-14,04-14
Northern Flicker,04-03,04-30,10-02
American Goshawk,04-08,04-30,05-04
Northern Harrier,03-17,04-21,05-23
Northern Mockingbird,04-11,05-21,07-18
Northern Parula,05-02,05-14,07-30
Northern Pintail,03-18,04-07,05-05
Northern Shoveler,04-03,04-30,06-07
Northern Shrike,03-28,03-31,04-04
Northern Waterthrush,04-30,05-21,07-17
Northern Wheatear,05-23,05-31,06-06
Northern Rough-winged Swallow,04-19,04-30,05-30
Northern Saw-whet Owl,02-21,02-28,04-26
Olive-sided Flycatcher,05-10,05-31,09-05
Orchard Oriole,05-01,05-07,05-18
Orange-crowned Warbler,04-29,05-14,05-27
Osprey,04-06,04-21,09-09
Ovenbird,05-03,05-31,07-16
Painted Bunting,05-08,05-14,05-20
Palm Warbler,04-22,05-07,05-20
Parasitic Jaeger,05-08,05-14,05-20
Pectoral Sandpiper,04-14,04-21,04-30
Peregrine Falcon,02-25,04-30,10-26
Philadelphia Vireo,05-06,05-21,07-22
Pied-billed Grebe,03-29,04-21,07-13
Pileated Woodpecker,02-28,02-28,02-28
Pine Grosbeak,02-28,02-28,02-28
Pine Siskin,05-04,05-14,05-18
Pine Warbler,04-17,05-07,09-16
Purple Finch,04-15,05-07,05-22
Purple Martin,05-16,05-31,06-06
Red-breasted Merganser,04-15,04-30,05-20
Red-breasted Nuthatch,05-14,05-14,05-14
Red-bellied Woodpecker,04-30,04-30,04-30
Red Crossbill,05-28,05-31,06-10
Redhead,03-31,04-14,05-28
Red Knot,05-15,05-21,05-30
Redpoll,02-06,02-28,03-03
Red-eyed Vireo,05-12,05-31,09-09
Red-headed Woodpecker,04-30,05-14,06-05
Red-necked Grebe,04-15,04-30,05-13
Red-shouldered Hawk,03-09,03-31,05-03
Red-tailed Hawk,03-12,04-07,04-29
Red-throated Loon,04-20,04-30,05-17
Red-winged Blackbird,03-14,05-07,09-05
Ring-billed Gull,03-06,04-30,11-24
Ring-necked Duck,03-22,04-21,05-13
Ring-necked Pheasant,04-09,04-14,04-17
Rose-breasted Grosbeak,05-01,05-14,07-05
Rock Pigeon,03-02,03-14,03-17
Rough-legged Hawk,03-10,04-07,05-01
Ross's Goose,03-07,04-07,04-28
