Species,Mass Arrival Date,Peak Date,Peak Over Date
Northern Saw-whet Owl,03-30,04-07,04-12
Olive-sided Flycatcher,05-12,05-31,06-21
Orchard Oriole,05-01,05-07,05-13
Orange-crowned Warbler,04-30,05-07,05-26
Osprey,04-04,05-14,09-12
Ovenbird,04-30,05-31,07-17
Palm Warbler,04-21,05-14,05-21
Pectoral Sandpiper,05-08,05-14,05-29
Peregrine Falcon,03-08,03-14,03-20
Philadelphia Vireo,05-07,05-21,06-06
Pied-billed Grebe,03-23,04-07,05-22
Pileated Woodpecker,03-23,05-14,05-30
Pine Grosbeak,02-28,02-28,02-28
Pine Siskin,02-24,03-07,03-12
Pine Warbler,04-14,05-14,09-25
Piping Plover,05-08,05-14,05-29
Prairie Warbler,05-01,05-07,07-10
Purple Finch,04-09,04-30,05-28
Purple Martin,05-01,05-07,05-18
Red-breasted Merganser,05-11,05-14,05-23
Red-breasted Nuthatch,03-07,03-07,03-07
Red-bellied Woodpecker,03-14,03-14,03-14
Red Crossbill,02-24,03-07,03-11
Redhead,04-08,04-14,04-29
Redpoll,02-28,02-28,02-28
Red-eyed Vireo,05-08,05-31,09-13
Red-headed Woodpecker,05-05,05-14,05-30
Red-necked Grebe,04-10,04-30,05-20
Red-necked Phalarope,05-15,05-21,05-30
Red-shouldered Hawk,03-16,03-31,08-19
Red-tailed Hawk,03-05,03-31,04-13
Red-throated Loon,05-22,05-31,06-06
Red-winged Blackbird,03-06,04-30,08-10
Ring-billed Gull,03-16,04-21,12-16
Ring-necked Duck,03-23,04-14,05-09
Ring-necked Pheasant,03-09,03-14,03-19
Rose-breasted Grosbeak,04-30,05-14,09-09
Rock Pigeon,03-14,03-14,03-14
Rough-legged Hawk,03-05,03-14,04-12
Ruby-throated Hummingbird,05-01,05-14,09-19
Ruby-crowned Kinglet,04-08,04-21,05-25
Ruddy Turnstone,05-22,05-31,06-06
Ruffed Grouse,03-26,05-21,06-03
Rusty Blackbird,04-01,04-21,05-15
Sandhill Crane,03-17,03-31,09-10
Savannah Sparrow,04-14,05-14,10-15
Scarlet Tanager,05-03,05-21,07-29
Sedge Wren,05-11,05-31,07-30
Semipalmated Plover,05-08,05-21,06-04
Semipalmated Sandpiper,05-15,05-21,06-09
Short-billed Dowitcher,05-08,05-14,05-29
Short-eared Owl,04-15,04-21,04-29
Sharp-shinned Hawk,04-07,04-21,05-10
Snow Bunting,03-23,03-31,04-04
Snow Goose,03-08,03-14,03-20
Snowy Owl,02-26,02-28,03-02
Solitary Sandpiper,04-20,05-14,05-29
Song Sparrow,03-21,05-14,10-21
Sora,04-17,05-31,07-12
Spotted Sandpiper,04-28,05-14,09-17
Spruce Grouse,04-15,04-21,05-11
Swamp Sparrow,04-13,05-21,10-19
Swainson's Thrush,05-03,05-31,07-31
Tennessee Warbler,05-03,05-14,05-30
Townsend's Solitaire,05-08,05-14,05-20
Tree Swallow,04-05,05-07,07-12
Trumpeter Swan,02-26,03-14,04-04
Tufted Duck,05-01,05-07,05-13
Tundra Swan,04-15,04-21,04-29
Turkey Vulture,03-21,04-30,10-16
Veery,05-06,05-31,07-24
Vesper Sparrow,04-04,04-14,04-22
Virginia Rail,04-25,05-21,06-30
Warbling Vireo,05-01,05-21,07-19
White-breasted Nuthatch,02-28,02-28,02-28
White-crowned Sparrow,04-24,05-07,05-20
Whimbrel,05-15,05-21,05-30
White-rumped Sandpiper,05-08,05-21,05-30
White-throated Sparrow,04-13,04-30,08-12
White-winged Crossbill,03-06,03-07,03-08
White-winged Scoter,05-08,05-14,05-20
Willet,04-08,04-14,04-20
Wilson's Phalarope,05-08,05-14,05-20
Wilson's Snipe,04-02,04-21,07-04
Wild Turkey,04-03,04-14,04-21
Winter Wren,04-02,05-31,08-06
Wilson's Warbler,05-06,05-14,06-06
Wood Duck,03-25,04-14,10-31
Wood Thrush,04-30,05-14,07-30
American Coot,04-01,04-07,04-13
Iceland Gull,02-28,02-28,02-28
Yellow-billed Cuckoo,05-10,05-31,08-28
Yellow-bellied Flycatcher,05-11,05-31,07-25
Yellow-bellied Sapsucker,04-02,04-30,09-29
Yellow Warbler,04-30,05-21,08-18
Yellow-rumped Warbler,04-15,05-07,10-15
Yellow-throated Vireo,05-02,05-14,07-13
