Species,Mass Arrival Date,Peak Date,Peak Over Date
Northern Hawk Owl,02-28,02-28,02-28
Northern Cardinal,04-04,04-30,05-18
Northern Flicker,03-27,04-30,10-17
American Goshawk,05-31,05-31,05-31
Northern Harrier,02-27,03-31,04-22
Northern Mockingbird,03-29,04-07,04-09
Northern Parula,04-23,05-07,05-21
Northern Pintail,03-09,03-31,04-08
Northern Shoveler,03-14,04-14,06-04
Northern Shrike,02-28,02-28,02-28
Northern Waterthrush,04-19,05-14,07-01
Northern Rough-winged Swallow,04-11,05-14,08-15
Northern Saw-whet Owl,02-24,03-14,03-25
Olive-sided Flycatcher,05-05,05-21,06-03
Orchard Oriole,05-01,05-14,07-13
Orange-crowned Warbler,04-22,05-14,05-21
Osprey,03-23,04-07,09-19
Ovenbird,04-26,05-14,07-19
Palm Warbler,04-17,04-30,05-18
Pectoral Sandpiper,04-03,05-14,05-25
Rosy-faced Lovebird,05-08,05-14,05-20
Peregrine Falcon,03-31,03-31,03-31
Philadelphia Vireo,05-05,05-14,05-29
Pied-billed Grebe,03-17,04-14,11-10
Pink-footed Goose,03-15,03-21,04-06
Pileated Woodpecker,03-28,04-30,07-06
Pine Grosbeak,02-28,02-28,02-28
Pine Siskin,02-20,02-28,03-18
Pine Warbler,04-07,04-30,07-28
Piping Plover,05-21,05-31,06-06
Prairie Warbler,05-08,05-14,05-20
Purple Finch,04-07,04-30,05-21
Purple Martin,04-22,05-21,08-18
Red-breasted Merganser,03-28,04-14,04-20
Red-breasted Nuthatch,05-07,05-07,05-07
Red-bellied Woodpecker,04-26,05-07,05-23
Red Crossbill,05-18,05-21,05-26
Redhead,03-14,03-31,04-11
Red Knot,05-15,05-21,06-05
Redpoll,03-07,03-07,03-07
Red-eyed Vireo,05-07,05-31,09-20
Red-headed Woodpecker,04-18,05-14,08-29
Red-necked Grebe,03-19,04-14,06-25
Red-necked Phalarope,05-15,05-21,05-30
Red-shouldered Hawk,03-08,05-31,07-14
Red-tailed Hawk,02-28,02-28,02-28
Red-winged Blackbird,02-24,04-30,09-05
Ring-billed Gull,02-27,03-21,12-14
Ring-necked Duck,03-07,03-31,04-29
Rose-breasted Grosbeak,04-26,05-14,07-13
Rock Pigeon,02-19,02-28,03-10
Rough-legged Hawk,02-28,02-28,02-28
Ross's Goose,02-25,02-28,03-03
Ruby-throated Hummingbird,04-30,05-31,09-20
Ruby-crowned Kinglet,04-08,04-30,05-14
Ruddy Duck,03-21,04-07,05-04
Ruddy Turnstone,05-08,05-14,05-29
Ruffed Grouse,03-30,04-14,05-24
Rusty Blackbird,03-18,04-07,05-10
Sandhill Crane,02-25,03-07,04-19
Sanderling,05-15,05-21,06-05
Savannah Sparrow,04-04,05-31,08-05
Scarlet Tanager,05-02,05-14,07-21
Sedge Wren,05-14,05-21,06-26
Semipalmated Plover,05-08,05-21,06-04
Semipalmated Sandpiper,05-10,05-21,06-17
Short-billed Dowitcher,05-07,05-14,05-24
Short-eared Owl,03-15,03-21,04-01
Sharp-shinned Hawk,04-08,04-21,04-23
Snow Bunting,02-28,02-28,02-28
Snowy Egret,04-08,04-14,04-20
Snow Goose,03-19,03-21,03-26
Snowy Owl,02-28,02-28,02-28
Solitary Sandpiper,04-23,05-07,05-23
Song Sparrow,03-10,05-31,10-29
Sora,04-08,05-14,07-04
Spotted Sandpiper,04-18,05-14,09-20
Spotted Towhee,05-08,05-14,05-20
Stilt Sandpiper,05-15,05-21,05-29
Summer Tanager,05-12,05-14,05-15
Swamp Sparrow,04-05,04-30,10-30
Swainson's Thrush,05-03,05-14,05-27
Tennessee Warbler,05-03,05-14,05-25
Tree Swallow,04-01,05-14,07-29
Trumpeter Swan,03-01,03-31,12-06
Tufted Titmouse,05-08,05-14,05-20
Tundra Swan,02-28,03-07,04-01
Turkey Vulture,03-08,03-31,10-23
Upland Sandpiper,05-15,05-21,06-06
Varied Thrush,02-28,02-28,02-28
Veery,04-30,05-14,07-20
Vesper Sparrow,04-01,05-31,08-11
Virginia Rail,04-06,05-14,09-25
Warbling Vireo,04-26,05-31,07-21
Western Sandpiper,05-08,05-14,05-20
White-breasted Nuthatch,02-28,02-28,02-28
White-crowned Sparrow,04-24,05-07,05-17
White-eyed Vireo,05-01,05-07,05-13
Whimbrel,05-15,05-21,05-29
White-rumped Sandpiper,05-06,05-14,06-07
White-throated Sparrow,04-14,04-30,05-14
White-winged Crossbill,03-14,03-14,03-14
White-winged Scoter,03-21,03-21,03-21
Willow Flycatcher,05-09,05-31,08-11
Wilson's Phalarope,05-08,05-14,05-21
Wilson's Snipe,03-23,04-14,05-20
Wild Turkey,03-23,04-30,10-03
Winter Wren,03-23,04-14,07-04
Wilson's Warbler,05-06,05-14,05-28
Wood Duck,03-12,04-14,10-29
Wood Thrush,04-29,05-14,07-27
American Coot,03-19,04-14,04-27
Iceland Gull,03-31,03-31,03-31
Yellow-billed Cuckoo,05-15,05-31,07-18
Yellow-bellied Flycatcher,05-05,05-21,06-03
Yellow-bellied Sapsucker,04-01,04-14,07-13
Yellow Warbler,04-23,05-14,08-17
Yellow-rumped Warbler,04-11,04-30,05-20
Yellow-throated Vireo,04-23,05-21,07-18
Yellow-throated Warbler,04-22,04-30,05-06
