Species,Mass Arrival Date,Peak Date,Peak Over Date
Merlin,04-01,05-07,05-28
Common Gull,02-28,02-28,02-28
Mississippi Kite,05-08,05-14,05-20
Mountain Bluebird,02-28,02-28,02-28
Mourning Dove,03-15,05-31,09-07
Mourning Warbler,05-07,05-21,06-07
Muscovy Duck,03-15,03-21,03-29
Mute Swan,02-25,03-14,04-13
Nashville Warbler,04-23,05-07,05-22
Neotropic Cormorant,05-02,05-21,05-30
Northern Cardinal,04-02,04-30,05-15
Northern Flicker,03-27,04-14,10-24
American Goshawk,03-14,03-14,03-14
Northern Harrier,03-20,04-14,05-21
Northern Mockingbird,04-23,05-07,05-29
Northern Parula,04-25,05-07,05-21
Northern Pintail,02-27,03-21,04-26
Northern Shoveler,03-08,04-14,05-09
Northern Shrike,02-18,02-28,03-01
Northern Waterthrush,04-21,05-14,06-17
Northern Rough-winged Swallow,04-12,05-07,06-17
Northern Saw-whet Owl,03-01,03-07,03-20
Olive-sided Flycatcher,05-07,05-21,06-05
Orchard Oriole,04-28,05-14,06-13
Orange-crowned Warbler,04-25,05-14,05-23
Osprey,03-24,04-14,09-24
Ovenbird,04-26,05-07,07-15
Pacific Loon,05-15,05-21,05-30
Palm Warbler,04-19,05-07,05-19
Pectoral Sandpiper,04-01,04-07,05-21
Peregrine Falcon,04-22,04-30,05-17
Philadelphia Vireo,05-04,05-14,05-29
Pied-billed Grebe,03-26,04-07,04-26
Pileated Woodpecker,03-25,04-07,06-14
Pine Grosbeak,03-31,03-31,03-31
Pine Siskin,04-18,04-30,05-16
Pine Warbler,04-05,04-21,05-25
Piping Plover,05-15,05-21,05-29
Prairie Warbler,04-19,05-14,06-05
Purple Finch,04-04,04-21,05-07
Purple Martin,04-08,05-31,08-20
Purple Sandpiper,05-15,05-21,05-30
Red-breasted Merganser,03-08,04-21,05-14
Red-breasted Nuthatch,04-24,05-07,05-18
Red-bellied Woodpecker,02-28,02-28,02-28
Red Crossbill,03-03,03-07,03-11
Redhead,02-20,03-21,04-07
Red Knot,05-17,05-31,06-10
Redpoll,02-28,02-28,02-28
Red-eyed Vireo,05-03,05-21,09-26
Red-headed Woodpecker,05-01,05-14,06-02
Red-necked Grebe,03-24,04-07,05-05
Red-necked Phalarope,05-15,05-21,05-30
Red-shouldered Hawk,05-08,05-14,05-26
Red-tailed Hawk,02-28,02-28,02-28
Red-throated Loon,05-04,05-21,06-06
Red-winged Blackbird,02-25,04-21,08-14
Ring-billed Gull,02-27,04-07,12-14
Ring-necked Duck,03-01,03-31,04-30
Rose-breasted Grosbeak,04-24,05-07,09-15
Rock Pigeon,02-28,02-28,02-28
Rough-legged Hawk,02-28,02-28,02-28
Ross's Goose,02-27,02-28,03-01
Ruby-throated Hummingbird,05-01,05-14,09-21
Ruby-crowned Kinglet,04-04,04-21,05-17
Ruddy Duck,04-07,04-07,04-07
Ruddy Turnstone,05-15,05-31,06-07
Ruffed Grouse,03-20,05-07,05-29
Rusty Blackbird,04-02,04-21,05-04
Sandhill Crane,03-04,04-21,06-12
Sanderling,05-15,05-31,06-10
Savannah Sparrow,04-05,05-31,07-31
Scarlet Tanager,04-29,05-14,05-29
Scissor-tailed Flycatcher,04-05,04-14,04-20
Sedge Wren,05-15,05-21,06-12
Semipalmated Plover,04-25,05-21,06-09
Semipalmated Sandpiper,05-14,05-31,06-12
Short-billed Dowitcher,05-08,05-14,06-06
Short-eared Owl,04-11,04-14,04-20
Sharp-shinned Hawk,04-16,04-30,05-13
Snow Bunting,02-28,02-28,02-28
Snowy Egret,05-01,05-07,05-19
Snow Goose,03-09,03-21,03-29
Snowy Owl,02-28,02-28,02-28
Solitary Sandpiper,04-22,05-07,05-20
Song Sparrow,03-10,05-31,10-29
Sora,04-16,05-07,06-17
Spotted Sandpiper,04-24,05-21,09-27
Spotted Towhee,02-28,02-28,02-28
Summer Tanager,05-08,05-14,05-21
Surf Scoter,04-03,05-07,05-19
Swan Goose,02-28,02-28,02-28
Swamp Sparrow,04-06,05-31,08-06
Swainson's Thrush,05-03,05-14,05-30
Tennessee Warbler,05-02,05-14,05-27
Townsend's Solitaire,02-27,02-28,03-02
Tree Swallow,03-27,04-30,08-06
Trumpeter Swan,02-23,02-28,03-02
Tufted Titmouse,04-02,04-07,04-12
Tundra Swan,03-08,03-14,03-19
Turkey Vulture,03-15,05-07,11-03
Upland Sandpiper,04-15,05-14,07-27
Veery,04-30,05-14,07-07
Vesper Sparrow,04-01,04-07,08-02
Virginia Rail,04-12,05-14,08-31
Warbling Vireo,04-26,05-14,07-24
Western Meadowlark,04-22,04-30,05-06
White-breasted Nuthatch,02-28,02-28,02-28
White-crowned Sparrow,04-23,05-07,05-20
White-eyed Vireo,05-01,05-07,05-18
Whimbrel,05-15,05-21,06-06
White-rumped Sandpiper,05-11,05-21,06-12
White-throated Sparrow,04-12,04-30,05-18
White-winged Crossbill,03-04,03-07,03-10
White-winged Dove,05-15,05-21,05-30
White-winged Scoter,03-17,04-14,05-17
Willow Flycatcher,05-14,05-31,07-03
Willet,05-08,05-14,05-20
Wilson's Phalarope,05-06,05-14,05-28
Wilson's Snipe,03-20,04-07,07-14
Wild Turkey,03-22,04-21,06-09
Winter Wren,03-26,04-14,05-01
Wilson's Warbler,05-02,05-14,05-30
Worm-eating Warbler,05-01,05-07,05-20
Wood Duck,03-05,04-14,10-23
Wood Thrush,04-26,05-14,07-23
American Coot,03-21,03-21,03-21
Iceland Gull,03-07,03-07,03-07
Yellow-breasted Chat,05-04,05-14,05-26
Yellow-billed Cuckoo,05-13,05-31,08-31
Yellow-bellied Flycatcher,05-08,05-21,06-03
Yellow-bellied Sapsucker,03-27,04-07,05-06
Yellow Warbler,04-23,05-14,08-25
Yellow-rumped Warbler,04-11,05-07,05-21
Yellow-throated Vireo,04-24,05-07,05-21
Yellow-throated Warbler,04-22,04-30,05-06
