Species,Mass Arrival Date,Peak Date,Peak Over Date
Least Flycatcher,04-27,05-14,05-30
Least Sandpiper,04-30,05-14,05-29
Lesser Scaup,03-25,03-31,04-15
Lesser Yellowlegs,04-03,04-21,05-21
Lincoln's Sparrow,04-28,05-07,05-21
Little Gull,05-21,05-31,06-06
Long-billed Dowitcher,04-15,04-21,05-05
Long-eared Owl,02-28,02-28,02-28
Loggerhead Shrike,05-15,05-21,05-29
Long-tailed Duck,03-07,03-07,03-07
Louisiana Waterthrush,04-13,04-21,05-21
Magnolia Warbler,05-02,05-14,05-25
Mallard,03-22,03-31,04-09
Marbled Godwit,05-01,05-07,05-18
Marsh Wren,04-28,05-31,10-13
Merlin,04-01,04-14,04-21
Mountain Bluebird,03-08,03-14,03-21
Mourning Dove,03-11,04-30,10-03
Mourning Warbler,05-09,05-31,07-09
Muscovy Duck,05-25,05-31,06-02
Mute Swan,03-07,03-07,03-07
Nashville Warbler,04-21,05-07,05-21
Neotropic Cormorant,03-22,03-31,04-06
Northern Hawk Owl,02-28,02-28,02-28
Northern Cardinal,03-20,04-30,08-16
Northern Flicker,03-27,04-21,10-15
American Goshawk,05-21,05-21,05-21
Northern Harrier,03-31,03-31,03-31
Northern Mockingbird,03-07,03-07,03-07
Northern Parula,04-24,05-14,05-21
Northern Pintail,03-03,03-07,03-23
Northern Shoveler,04-14,04-14,04-14
Northern Shrike,03-07,03-07,03-07
Northern Waterthrush,04-18,05-14,07-06
Northern Rough-winged Swallow,04-07,05-14,08-10
Northern Saw-whet Owl,03-07,03-07,03-07
Olive-sided Flycatcher,05-09,05-21,06-05
Orchard Oriole,04-30,05-14,07-19
Orange-crowned Warbler,05-03,05-14,05-19
Osprey,03-24,04-14,10-20
Ovenbird,04-23,05-14,07-11
Pacific Loon,03-21,03-21,03-21
Palm Warbler,04-16,04-30,05-18
Pectoral Sandpiper,03-20,04-30,05-17
Peregrine Falcon,03-03,03-07,03-10
Philadelphia Vireo,05-04,05-14,05-28
Pied-billed Grebe,03-21,04-07,04-26
Pileated Woodpecker,03-27,05-14,07-03
Pine Grosbeak,03-31,03-31,03-31
Pine Siskin,02-22,02-28,03-10
Pine Warbler,04-07,04-21,07-15
Piping Plover,05-19,05-31,06-06
Prairie Warbler,04-30,05-07,05-14
Prothonotary Warbler,05-07,05-14,05-21
Purple Finch,04-19,04-30,05-02
Purple Martin,04-11,05-14,09-04
Red-breasted Merganser,03-07,03-07,03-07
Red-breasted Nuthatch,02-28,02-28,02-28
Red-bellied Woodpecker,04-04,05-07,06-18
Red Crossbill,04-02,04-07,04-13
Redhead,03-07,03-07,03-07
Red Knot,05-21,05-31,06-06
Redpoll,03-07,03-07,03-07
Red-eyed Vireo,05-06,05-21,09-21
Red-headed Woodpecker,04-24,05-07,06-21
Red-necked Grebe,03-20,03-31,04-15
Red-necked Phalarope,05-15,05-21,05-29
Red-shouldered Hawk,03-07,03-14,04-11
Red-tailed Hawk,03-01,03-07,03-28
Red-throated Loon,02-24,03-07,03-13
Red-winged Blackbird,02-23,04-30,08-21
Ring-billed Gull,02-23,04-07,01-01
Ring-necked Duck,03-02,03-14,04-09
Rose-breasted Grosbeak,04-25,05-14,07-18
Rock Pigeon,02-28,02-28,02-28
Rough-legged Hawk,03-14,03-14,03-14
Ross's Goose,03-14,03-14,03-14
Ruby-throated Hummingbird,05-01,05-14,09-27
Ruby-crowned Kinglet,04-08,04-21,05-13
Ruddy Duck,03-24,03-31,04-21
Ruddy Turnstone,05-08,05-21,06-10
Ruffed Grouse,03-31,05-07,05-28
Rusty Blackbird,03-18,04-07,05-05
Sandhill Crane,02-28,03-14,05-11
Sanderling,05-15,05-21,06-12
Savannah Sparrow,04-01,05-31,08-05
Scarlet Tanager,05-01,05-14,07-25
Sedge Wren,04-15,04-21,05-05
Semipalmated Plover,05-03,05-14,06-10
Semipalmated Sandpiper,05-10,05-21,06-17
Short-billed Dowitcher,05-03,05-14,05-30
Short-eared Owl,02-28,02-28,02-28
Sharp-shinned Hawk,03-11,04-14,05-03
Snow Bunting,02-28,02-28,02-28
Snowy Egret,04-08,04-14,04-29
Snow Goose,03-12,03-14,03-17
Snowy Owl,02-28,02-28,02-28
Solitary Sandpiper,04-17,05-07,05-20
Song Sparrow,03-07,05-31,10-29
Sora,04-08,04-21,06-02
Spotted Sandpiper,04-17,05-21,09-18
Stilt Sandpiper,05-08,05-14,05-29
Summer Tanager,04-30,05-07,05-13
Surf Scoter,03-07,03-07,03-07
Swainson's Hawk,04-08,04-14,04-28
Swamp Sparrow,04-02,04-21,08-11
Swainson's Thrush,05-02,05-14,05-27
Tennessee Warbler,05-02,05-14,05-25
Tree Swallow,03-25,05-21,08-13
Trumpeter Swan,03-07,03-07,03-07
Tufted Duck,02-28,02-28,02-28
Tufted Titmouse,04-28,04-30,05-08
Tundra Swan,02-18,03-07,03-20
Turkey Vulture,03-02,03-31,11-04
Upland Sandpiper,04-07,04-21,05-08
Veery,04-26,05-14,07-17
Vesper Sparrow,03-22,04-07,07-19
Virginia Rail,04-03,05-31,09-04
Warbling Vireo,04-25,05-14,07-29
Western Grebe,04-16,04-21,04-27
Western Tanager,02-28,02-28,02-28
White-breasted Nuthatch,04-30,04-30,04-30
White-crowned Sparrow,04-23,05-07,05-15
White-eyed Vireo,04-15,04-21,04-30
Whimbrel,05-14,05-21,05-29
White-rumped Sandpiper,05-08,05-31,06-14
White-throated Sparrow,04-13,04-30,05-11
White-winged Crossbill,02-28,03-07,03-13
White-winged Dove,05-08,05-14,05-20
White-winged Scoter,03-07,03-07,03-07
Willow Flycatcher,05-11,05-31,07-30
Willet,05-08,05-14,06-04
Wilson's Phalarope,05-03,05-14,05-28
Wilson's Plover,05-08,05-14,05-20
Wilson's Snipe,03-16,03-31,05-06
Wild Turkey,03-18,04-14,05-31
Winter Wren,03-28,04-21,05-06
Wilson's Warbler,05-05,05-14,05-28
Worm-eating Warbler,04-15,04-21,04-29
Wood Duck,03-03,04-07,10-30
Wood Thrush,04-26,05-14,07-19
American Coot,03-31,03-31,03-31
Iceland Gull,02-28,02-28,02-28
Yellow-breasted Chat,04-15,04-21,04-29
Yellow-billed Cuckoo,05-14,05-31,07-15
Yellow-bellied Flycatcher,05-08,05-21,06-02
Yellow-bellied Sapsucker,03-27,04-07,05-04
Yellow-headed Blackbird,05-15,05-21,06-05
Yellow Rail,05-01,05-07,05-14
Yellow Warbler,04-22,05-14,08-14
Yellow-rumped Warbler,04-11,04-30,05-20
Yellow-throated Vireo,04-24,05-14,07-07
Yellow-throated Warbler,04-19,04-30,05-06
