Species,Mass Arrival Date,Peak Date,Peak Over Date
Peregrine Falcon,05-01,05-07,05-13
Philadelphia Vireo,05-03,05-21,06-05
Pied-billed Grebe,03-17,04-21,05-14
Pileated Woodpecker,04-07,04-07,04-07
Pine Grosbeak,02-28,02-28,02-28
Pine Siskin,05-02,05-07,05-11
Pine Warbler,04-15,05-07,07-07
Piping Plover,05-01,05-07,05-13
Prothonotary Warbler,05-01,05-07,05-13
Purple Finch,03-19,03-21,03-28
Purple Martin,05-01,05-07,05-13
Red-breasted Merganser,04-10,05-14,05-20
Red-breasted Nuthatch,04-24,04-30,05-07
Red-bellied Woodpecker,03-21,03-21,03-21
Red Crossbill,04-06,04-07,04-08
Redhead,04-22,04-30,05-06
Red Knot,05-08,05-14,05-20
Redpoll,03-21,03-21,03-21
Red-eyed Vireo,05-11,05-31,09-11
Red-headed Woodpecker,04-28,05-14,05-26
Red-necked Grebe,04-12,04-14,04-17
Red-shouldered Hawk,03-06,03-21,04-11
Red-tailed Hawk,04-25,04-30,05-20
Red-throated Loon,05-01,05-07,05-13
Red-winged Blackbird,03-14,05-14,08-07
Ring-billed Gull,03-15,05-14,11-20
Ring-necked Duck,03-23,04-14,05-20
Ring-necked Pheasant,04-09,04-14,04-16
Rose-breasted Grosbeak,04-30,05-07,07-06
Rock Pigeon,02-28,02-28,02-28
Rough-legged Hawk,03-14,03-14,03-14
Ross's Goose,03-08,03-14,03-20
Ruby-throated Hummingbird,04-29,05-07,06-12
Ruby-crowned Kinglet,04-10,04-21,05-12
Ruddy Duck,05-01,05-07,06-03
Ruddy Turnstone,05-08,05-21,05-29
Ruffed Grouse,04-23,04-30,05-04
Rusty Blackbird,04-02,04-14,05-05
Sandhill Crane,03-18,04-07,10-18
Savannah Sparrow,04-15,05-14,10-08
Scarlet Tanager,05-02,05-14,06-07
Sedge Wren,05-01,05-07,06-05
Semipalmated Plover,05-08,05-21,05-31
Semipalmated Sandpiper,05-08,05-14,05-27
Short-billed Dowitcher,05-01,05-14,05-21
Short-eared Owl,04-06,04-07,04-09
Sharp-shinned Hawk,04-21,04-21,04-21
Sharp-tailed Grouse,02-24,02-28,03-06
Snow Bunting,03-04,03-07,03-17
Snow Goose,03-08,03-14,03-20
Snowy Owl,04-14,04-14,04-14
Solitary Sandpiper,04-23,05-07,05-21
Song Sparrow,03-26,05-31,10-17
Sora,05-08,05-14,07-14
Spotted Sandpiper,04-26,05-14,09-19
Surf Scoter,05-08,05-14,05-20
Swamp Sparrow,04-22,05-21,10-19
Swainson's Thrush,05-07,05-31,06-07
Tennessee Warbler,05-02,05-14,05-27
Townsend's Solitaire,02-28,02-28,02-28
