Species,Mass Arrival Date,Peak Date,Peak Over Date
Northern Parula,04-30,05-14,07-07
Northern Pintail,04-01,04-07,04-20
Northern Shoveler,04-02,04-14,05-20
Northern Shrike,03-14,03-21,03-27
Northern Waterthrush,04-23,05-14,07-03
Northern Rough-winged Swallow,04-17,05-14,06-12
Northern Saw-whet Owl,03-22,03-31,04-06
Olive-sided Flycatcher,05-09,05-21,07-06
Orange-crowned Warbler,04-28,05-14,05-27
Osprey,04-02,05-31,09-13
Ovenbird,04-29,05-21,07-19
Painted Bunting,04-15,04-21,04-30
Palm Warbler,04-19,05-07,05-19
Pectoral Sandpiper,05-01,05-07,05-13
Peregrine Falcon,04-15,04-21,06-11
Philadelphia Vireo,05-07,05-14,05-30
Pied-billed Grebe,03-16,04-14,05-04
Pileated Woodpecker,04-25,04-30,05-06
Pine Grosbeak,02-28,02-28,02-28
Pine Siskin,02-18,03-07,03-23
Pine Warbler,04-11,04-30,08-07
Prairie Warbler,05-08,05-31,07-05
Purple Finch,04-08,04-30,05-18
Purple Martin,05-09,05-31,06-06
Red-breasted Merganser,05-15,05-21,05-24
Red-breasted Nuthatch,03-07,03-07,03-07
Red-bellied Woodpecker,03-07,03-07,03-07
Red Crossbill,02-22,02-28,03-02
Redhead,04-07,04-14,05-12
Red Knot,05-15,05-21,06-13
Redpoll,02-28,02-28,02-28
Red-eyed Vireo,05-09,05-31,09-14
Red-headed Woodpecker,04-28,05-14,06-05
Red-necked Grebe,03-30,04-14,04-21
Red-shouldered Hawk,03-11,03-31,06-30
Red-tailed Hawk,03-17,03-31,04-17
Red-throated Loon,02-28,02-28,02-28
Red-winged Blackbird,03-03,04-30,08-15
Ring-billed Gull,03-14,04-21,11-21
Ring-necked Duck,03-19,04-21,05-07
Ring-necked Pheasant,04-14,04-21,04-29
Rose-breasted Grosbeak,04-30,05-14,07-18
Rock Pigeon,03-02,03-07,03-10
Rough-legged Hawk,03-17,03-31,04-05
Ruby-throated Hummingbird,05-02,05-21,09-14
Ruby-crowned Kinglet,04-09,04-21,05-14
Ruddy Duck,04-15,05-07,05-28
Ruddy Turnstone,05-14,05-21,05-30
Ruffed Grouse,03-31,04-30,05-29
Rusty Blackbird,04-01,04-21,05-13
Sandhill Crane,03-15,04-07,06-21
Sanderling,05-15,05-21,05-30
Savannah Sparrow,04-14,05-14,10-15
Scarlet Tanager,05-04,05-21,09-17
Sedge Wren,05-10,05-31,06-13
Semipalmated Plover,05-08,05-14,05-30
Semipalmated Sandpiper,05-11,05-21,06-08
Short-billed Dowitcher,05-08,05-14,05-20
Sharp-shinned Hawk,04-01,05-07,05-13
Snow Bunting,03-05,03-21,03-31
Snowy Owl,03-24,03-31,04-05
Solitary Sandpiper,04-30,05-07,05-23
Song Sparrow,03-18,05-14,10-25
Sora,04-27,05-14,05-28
Spotted Sandpiper,04-22,05-14,09-14
Spruce Grouse,05-01,05-07,05-13
Stilt Sandpiper,05-15,05-21,05-30
Swamp Sparrow,04-09,05-14,10-19
Swainson's Thrush,05-07,05-14,06-13
Tennessee Warbler,05-06,05-14,05-28
Townsend's Solitaire,02-28,02-28,02-28
Tree Swallow,04-03,05-14,07-19
Trumpeter Swan,03-04,03-14,03-19
Tundra Swan,02-28,02-28,02-28
Turkey Vulture,03-17,04-07,10-18
Veery,05-07,05-31,07-22
Vesper Sparrow,04-16,05-14,07-20
Virginia Rail,04-23,05-07,07-04
Warbling Vireo,05-01,05-21,07-27
Western Tanager,04-22,04-30,05-06
White-breasted Nuthatch,02-28,02-28,02-28
White-crowned Sparrow,04-24,05-07,05-21
Whimbrel,05-15,05-21,05-30
White-rumped Sandpiper,05-14,05-21,05-30
White-throated Sparrow,04-14,04-30,07-29
White-winged Crossbill,02-28,02-28,02-28
White-winged Scoter,03-07,03-07,03-07
Willow Flycatcher,05-15,05-21,06-12
Wilson's Phalarope,05-08,05-14,05-24
Wilson's Snipe,03-31,04-30,06-16
Wild Turkey,04-05,04-14,05-19
Winter Wren,03-30,04-30,08-07
Wilson's Warbler,05-07,05-14,05-30
Wood Duck,03-19,04-21,11-02
Wood Thrush,05-01,05-14,07-28
American Coot,03-29,04-21,05-09
Iceland Gull,03-07,03-07,03-07
Yellow-billed Cuckoo,05-07,05-14,08-21
Yellow-bellied Flycatcher,05-08,05-31,07-09
Yellow-bellied Sapsucker,04-03,04-30,09-30
Yellow Warbler,04-30,05-14,08-20
Yellow-rumped Warbler,04-15,05-07,10-15
Yellow-throated Vireo,05-03,05-14,09-19
