Species,Mass Arrival Date,Peak Date,Peak Over Date
American Goshawk,04-18,04-21,04-23
Northern Harrier,03-17,04-21,06-24
Northern Mockingbird,05-03,05-14,05-28
Northern Parula,04-30,05-14,05-26
Northern Pintail,03-03,03-21,05-02
Northern Shoveler,04-01,04-21,05-31
Northern Shrike,03-07,03-07,03-07
Northern Waterthrush,04-23,05-14,07-10
Northern Rough-winged Swallow,04-14,05-07,08-02
Northern Saw-whet Owl,03-12,03-14,03-16
Olive-sided Flycatcher,05-08,05-14,06-06
Orchard Oriole,04-27,05-14,06-06
Orange-crowned Warbler,04-24,05-14,05-21
Osprey,03-31,04-21,09-19
Ovenbird,04-30,05-31,07-17
Palm Warbler,04-15,04-30,05-18
Pectoral Sandpiper,04-29,05-14,05-27
Peregrine Falcon,04-01,04-14,04-29
Philadelphia Vireo,05-02,05-21,06-04
Pied-billed Grebe,03-31,04-21,11-08
Pink-footed Goose,03-23,03-31,04-06
Pileated Woodpecker,04-01,04-07,05-24
Pine Grosbeak,02-28,02-28,02-28
Pine Siskin,02-11,02-28,03-11
Pine Warbler,04-09,04-21,07-15
Purple Finch,04-02,04-30,08-12
Purple Martin,04-10,05-21,08-14
Red-breasted Merganser,03-30,04-21,05-05
Red-breasted Nuthatch,03-07,03-07,03-07
Red-bellied Woodpecker,03-06,03-07,03-11
Red Crossbill,03-03,03-07,03-14
Redhead,03-07,04-14,06-09
Redpoll,02-25,02-28,03-02
Red-eyed Vireo,05-08,05-31,09-12
Red-necked Grebe,04-15,04-21,05-07
Red-necked Phalarope,05-05,05-14,06-04
Red-shouldered Hawk,03-17,05-21,06-06
Red-tailed Hawk,04-05,04-07,04-08
Red-throated Loon,04-25,04-30,05-04
Red-winged Blackbird,02-28,05-14,09-12
Ring-billed Gull,03-01,03-31,12-15
Ring-necked Duck,03-09,04-14,05-06
Rose-breasted Grosbeak,04-27,05-14,08-07
Rock Pigeon,04-16,04-21,04-23
Rock Wren,02-28,02-28,02-28
Rough-legged Hawk,02-28,02-28,02-28
Ross's Goose,03-02,03-21,04-19
Ruby-throated Hummingbird,05-01,05-21,09-21
Ruby-crowned Kinglet,04-09,04-21,05-14
Ruddy Duck,05-14,05-21,05-31
Ruddy Turnstone,05-15,05-21,05-31
Ruffed Grouse,04-01,05-14,05-25
Rusty Blackbird,04-03,04-21,05-07
Sandhill Crane,03-16,04-21,06-27
Sanderling,05-01,05-14,05-29
Savannah Sparrow,04-11,05-31,08-12
Scarlet Tanager,05-05,05-14,07-26
Sedge Wren,05-15,05-31,07-06
Semipalmated Plover,05-07,05-21,05-31
Semipalmated Sandpiper,05-07,05-21,06-04
Short-billed Dowitcher,05-07,05-14,05-31
Short-eared Owl,03-31,03-31,03-31
Sharp-shinned Hawk,03-31,04-21,05-08
Snow Bunting,02-28,02-28,02-28
Snow Goose,02-28,03-21,04-30
Snowy Owl,02-28,02-28,02-28
Solitary Sandpiper,04-23,05-07,05-30
Song Sparrow,03-14,05-31,10-26
Sora,04-23,05-14,07-05
Spotted Sandpiper,04-27,05-21,09-23
Summer Tanager,04-22,04-30,05-06
Surf Scoter,04-22,04-30,05-06
Swamp Sparrow,04-03,05-14,10-16
Swainson's Thrush,05-04,05-14,05-29
Tennessee Warbler,05-05,05-14,05-30
Tree Swallow,04-01,05-14,08-27
Trumpeter Swan,03-18,03-21,03-31
Tufted Titmouse,05-07,05-07,05-07
Tundra Swan,03-14,03-14,03-14
Turkey Vulture,03-14,04-21,10-27
Upland Sandpiper,04-16,05-31,07-18
Veery,05-03,05-21,07-26
Vesper Sparrow,04-04,05-14,08-06
Virginia Rail,04-14,05-31,09-12
Warbling Vireo,04-30,05-21,08-06
White-breasted Nuthatch,02-28,02-28,02-28
White-crowned Sparrow,04-23,05-07,05-20
Whimbrel,05-15,05-21,05-29
White-rumped Sandpiper,05-09,05-21,05-30
White-throated Sparrow,04-15,04-30,05-19
White-winged Crossbill,03-10,03-14,03-18
White-winged Scoter,05-09,05-14,05-27
Willow Flycatcher,05-14,05-31,08-10
Wilson's Phalarope,04-19,05-21,05-31
Wilson's Snipe,03-31,04-21,08-18
Wild Turkey,04-07,04-21,06-09
Winter Wren,03-14,05-07,07-30
Wilson's Warbler,05-04,05-14,06-01
Wood Duck,03-19,04-21,11-12
Wood Thrush,05-01,05-21,07-28
American Coot,05-19,05-21,05-22
Iceland Gull,02-28,02-28,02-28
Yellow-crowned Night Heron,05-10,05-21,05-30
Yellow-billed Cuckoo,05-08,05-14,08-14
Yellow-bellied Flycatcher,05-05,05-21,05-30
Yellow-bellied Sapsucker,04-04,04-21,09-27
Yellow Warbler,04-26,05-21,08-21
Yellow-rumped Warbler,04-16,05-07,05-22
Yellow-throated Vireo,05-02,05-14,06-29
