Species,Mass Arrival Date,Peak Date,Peak Over Date
Lesser Scaup,03-12,04-07,05-13
Lesser Yellowlegs,04-10,04-30,05-20
Lincoln's Sparrow,04-24,05-07,05-21
Little Gull,02-28,02-28,02-28
Long-billed Dowitcher,04-10,04-30,05-10
Long-eared Owl,03-19,03-31,04-10
Loggerhead Shrike,05-10,05-31,06-21
Long-tailed Duck,02-28,02-28,02-28
Magnolia Warbler,05-01,05-14,06-10
Mallard,03-02,03-31,06-02
Marbled Godwit,04-15,04-21,04-29
Marsh Wren,05-07,05-31,08-19
Merlin,03-05,04-07,11-12
Mississippi Kite,05-15,05-21,06-06
Mourning Dove,03-20,05-07,08-23
Mourning Warbler,05-09,05-31,07-05
Muscovy Duck,03-11,03-14,03-17
Mute Swan,02-28,02-28,02-28
Nashville Warbler,04-24,05-14,07-06
Neotropic Cormorant,04-01,04-07,04-13
Northern Hawk Owl,02-28,02-28,02-28
Northern Bobwhite,05-01,05-07,05-13
Northern Cardinal,04-30,05-07,05-12
Northern Flicker,03-27,04-30,10-09
American Goshawk,04-17,04-21,04-28
Northern Harrier,03-15,04-07,05-29
Northern Mockingbird,04-11,05-07,05-29
Northern Parula,04-28,05-14,05-28
Northern Pintail,03-02,03-31,04-28
Northern Shoveler,03-16,04-14,05-19
Northern Shrike,02-28,02-28,02-28
Northern Waterthrush,04-23,05-21,07-11
Northern Rough-winged Swallow,04-13,05-14,07-10
Nelson's Sparrow,05-08,05-14,05-20
Northern Saw-whet Owl,02-23,03-14,03-20
Olive-sided Flycatcher,05-01,05-21,06-10
Orchard Oriole,04-27,05-07,07-30
Orange-crowned Warbler,04-23,05-14,05-21
Osprey,04-02,05-21,09-06
Ovenbird,04-30,05-14,07-20
Pacific Loon,02-28,02-28,02-28
Painted Bunting,04-22,04-30,05-07
Palm Warbler,04-19,05-07,05-20
Pectoral Sandpiper,03-16,04-07,05-20
Peregrine Falcon,04-05,04-14,05-31
Philadelphia Vireo,05-04,05-21,06-02
Pied-billed Grebe,03-21,04-14,11-06
Pileated Woodpecker,03-14,04-30,06-17
Pine Grosbeak,02-28,02-28,02-28
Pine Siskin,04-21,05-07,05-16
Pine Warbler,04-08,04-30,07-07
Piping Plover,04-20,05-21,08-10
Prairie Warbler,05-08,05-21,06-01
Purple Finch,03-31,04-30,06-19
Purple Gallinule,05-01,05-07,05-13
Purple Martin,04-16,05-31,06-21
Red-breasted Merganser,04-09,04-21,05-04
Red-breasted Nuthatch,04-26,05-07,05-14
Red-bellied Woodpecker,05-05,05-07,05-10
Red Crossbill,05-18,05-31,06-05
Redhead,03-05,03-21,04-05
Red Knot,05-15,05-21,05-29
Redpoll,03-07,03-07,03-07
Red-eyed Vireo,05-08,05-31,09-20
Red-headed Woodpecker,04-27,05-14,09-13
Red-necked Grebe,03-31,04-14,04-25
Red-shouldered Hawk,03-03,03-31,06-18
Red-tailed Hawk,03-31,03-31,03-31
Red-throated Loon,02-28,02-28,02-28
Red-winged Blackbird,02-27,05-07,08-16
Ring-billed Gull,02-25,04-07,11-29
Ring-necked Duck,03-06,03-31,05-05
Rose-breasted Grosbeak,04-26,05-14,07-30
Rock Pigeon,03-07,03-07,03-07
Rough-legged Hawk,03-31,03-31,03-31
Ross's Goose,03-08,03-14,03-29
Ruby-throated Hummingbird,04-30,05-14,09-25
Ruby-crowned Kinglet,04-07,04-30,05-17
Ruddy Duck,03-24,04-14,05-18
Ruddy Turnstone,05-12,05-21,06-03
Ruff,04-08,04-14,04-20
Ruffed Grouse,03-29,05-14,05-30
Rusty Blackbird,03-19,04-14,05-13
Sandhill Crane,03-07,04-07,10-23
Sanderling,05-11,05-21,06-06
Savannah Sparrow,04-04,05-21,10-09
Scarlet Tanager,05-02,05-14,07-18
Sedge Wren,05-09,05-21,07-31
Semipalmated Plover,05-03,05-21,06-02
Semipalmated Sandpiper,05-06,05-21,06-06
Short-billed Dowitcher,05-05,05-14,05-22
Short-eared Owl,04-09,04-14,04-22
Sharp-shinned Hawk,04-01,04-30,05-18
Snow Bunting,03-07,03-07,03-07
Snowy Egret,05-01,05-07,05-15
Snow Goose,03-07,03-14,03-31
Snowy Owl,02-28,02-28,02-28
Solitary Sandpiper,04-21,05-07,05-21
Song Sparrow,03-12,04-07,10-21
Sora,04-18,05-14,06-21
Spotted Sandpiper,04-22,05-14,09-17
Stilt Sandpiper,04-22,04-30,05-06
Summer Tanager,05-08,05-14,05-21
Surf Scoter,04-30,04-30,04-30
Swainson's Hawk,05-08,05-14,05-21
Swamp Sparrow,04-05,05-07,08-16
Swainson's Thrush,05-02,05-14,05-29
Tennessee Warbler,05-02,05-14,05-29
Tree Swallow,04-01,05-14,07-29
Tricolored Heron,04-16,04-30,05-06
Trumpeter Swan,04-02,04-14,04-18
Tufted Titmouse,02-28,02-28,02-28
Tundra Swan,02-22,03-14,04-06
Turkey Vulture,03-14,04-07,10-19
Upland Sandpiper,04-21,05-31,07-13
Veery,05-02,05-31,07-20
Vesper Sparrow,03-29,04-30,08-07
Virginia Rail,04-15,05-21,08-03
Warbling Vireo,04-30,05-21,08-03
Western Tanager,04-15,04-21,04-29
White-breasted Nuthatch,02-28,02-28,02-28
White-crowned Sparrow,04-22,05-07,05-20
White-eyed Vireo,05-07,05-14,06-20
Whimbrel,05-09,05-21,06-04
White-rumped Sandpiper,05-15,05-21,06-12
White-throated Sparrow,04-11,04-30,06-02
White-winged Crossbill,02-28,02-28,02-28
White-winged Dove,05-01,05-07,05-13
White-winged Scoter,03-07,03-07,03-07
Willow Flycatcher,05-13,05-31,07-04
Willet,05-15,05-21,06-17
Wilson's Phalarope,05-07,05-14,05-21
Wilson's Snipe,03-24,04-21,08-08
Wild Turkey,03-26,04-14,06-01
Winter Wren,03-21,04-14,08-08
Wilson's Warbler,05-04,05-21,06-02
Wood Duck,03-08,04-07,10-20
Wood Thrush,04-28,05-14,07-21
American Coot,03-25,04-14,04-28
Iceland Gull,02-28,02-28,02-28
Yellow-breasted Chat,04-15,04-21,04-29
Yellow-billed Cuckoo,05-15,05-31,08-05
Yellow-bellied Flycatcher,05-08,05-21,06-10
Yellow-bellied Sapsucker,03-26,04-14,07-16
Yellow-headed Blackbird,04-03,04-14,04-20
Yellow Warbler,04-28,05-21,08-12
Yellow-rumped Warbler,04-05,05-07,06-05
Yellow-throated Vireo,04-30,05-14,08-09
Yellow-throated Warbler,04-17,04-30,05-06
