Species,Mass Arrival Date,Peak Date,Peak Over Date
Purple Finch,04-10,05-07,05-29
Purple Martin,05-15,05-31,06-06
Red-breasted Merganser,02-18,02-28,03-16
Red-breasted Nuthatch,05-14,05-14,05-14
Red-bellied Woodpecker,03-21,03-21,03-21
Red Crossbill,02-28,02-28,02-28
Redpoll,03-21,03-21,03-21
Red-eyed Vireo,05-09,05-31,09-11
Red-headed Woodpecker,05-08,05-14,05-24
Red-necked Grebe,04-10,04-14,04-20
Red-shouldered Hawk,03-22,03-31,05-04
Red-tailed Hawk,03-20,03-31,04-03
Red-winged Blackbird,03-02,04-30,07-31
Ring-billed Gull,03-17,03-31,06-06
Ring-necked Duck,03-21,04-30,11-08
Ring-necked Pheasant,04-21,04-30,05-07
Rose-breasted Grosbeak,04-28,05-14,07-27
Rock Pigeon,02-21,02-28,03-10
Rough-legged Hawk,03-15,03-21,03-29
Ruby-throated Hummingbird,05-02,05-14,09-13
Ruby-crowned Kinglet,04-08,04-21,05-18
Ruddy Duck,02-28,02-28,02-28
Ruffed Grouse,04-10,05-14,05-29
Rusty Blackbird,04-02,04-21,05-11
Sandhill Crane,03-18,04-07,05-28
Savannah Sparrow,04-12,04-30,05-29
Scarlet Tanager,05-04,05-21,09-14
Sedge Wren,05-16,05-31,07-05
Semipalmated Plover,05-11,05-21,06-01
Semipalmated Sandpiper,05-15,05-21,05-29
Sharp-shinned Hawk,04-03,04-14,05-08
Snow Bunting,03-04,03-14,04-03
Snowy Owl,04-22,04-30,05-06
Solitary Sandpiper,04-26,05-07,05-17
Song Sparrow,03-17,05-14,10-19
Sora,05-02,05-14,05-29
Spotted Sandpiper,04-29,05-21,10-01
Spruce Grouse,05-07,05-07,05-07
Swamp Sparrow,04-10,05-14,10-12
Swainson's Thrush,05-07,05-21,10-06
Tennessee Warbler,05-03,05-14,05-28
Tree Swallow,04-02,05-14,07-30
Trumpeter Swan,02-22,03-07,03-25
Tundra Swan,03-14,03-14,03-14
Turkey Vulture,03-19,04-07,10-11
Upland Sandpiper,05-01,05-07,05-13
Varied Thrush,02-28,02-28,02-28
Veery,05-05,05-31,07-21
Vesper Sparrow,04-22,04-30,05-18
Virginia Rail,04-15,05-14,07-30
Warbling Vireo,04-30,05-14,07-29
Western Kingbird,05-01,05-07,05-13
White-breasted Nuthatch,02-28,02-28,02-28
White-crowned Sparrow,04-27,05-07,05-20
White-throated Sparrow,04-12,05-14,08-06
