Species,Mass Arrival Date,Peak Date,Peak Over Date
Lesser Scaup,03-27,03-31,04-02
Lesser Yellowlegs,04-06,04-21,05-20
Lincoln's Sparrow,04-25,05-14,05-21
Little Gull,05-12,05-31,06-17
Long-billed Dowitcher,04-22,04-30,05-11
Long-eared Owl,03-31,03-31,03-31
Long-tailed Duck,03-07,03-07,03-07
Louisiana Waterthrush,04-15,04-21,05-19
Magnolia Warbler,05-02,05-14,05-25
Mallard,03-12,03-31,04-16
Marsh Wren,05-10,05-31,08-08
Merlin,03-22,04-14,04-29
Monk Parakeet,04-15,04-21,04-29
Mourning Dove,03-10,04-30,10-05
Mourning Warbler,05-07,05-21,07-07
Muscovy Duck,03-31,03-31,03-31
Mute Swan,02-28,02-28,02-28
Nashville Warbler,04-23,05-07,05-20
Northern Cardinal,03-11,05-07,10-03
Northern Flicker,03-28,04-21,10-12
American Goshawk,03-06,03-07,03-09
Northern Harrier,03-13,03-21,04-21
Northern Mockingbird,05-24,05-31,06-05
Northern Parula,04-25,05-14,05-21
Northern Pintail,02-28,02-28,02-28
Northern Shoveler,03-08,04-07,04-22
Northern Shrike,02-28,02-28,02-28
Northern Waterthrush,04-18,05-14,07-05
Northern Rough-winged Swallow,04-07,05-07,07-31
Northern Saw-whet Owl,03-14,03-14,03-14
Olive-sided Flycatcher,05-06,05-14,06-12
Orchard Oriole,04-28,05-31,07-21
Orange-crowned Warbler,05-14,05-14,05-14
Osprey,03-23,04-14,10-20
Ovenbird,04-24,05-14,07-11
Pacific Loon,03-21,03-21,03-21
Painted Bunting,02-28,02-28,02-28
Palm Warbler,04-18,04-30,05-16
Parasitic Jaeger,04-01,04-07,04-13
Pectoral Sandpiper,03-27,04-21,05-02
Peregrine Falcon,03-07,03-07,03-07
Philadelphia Vireo,05-06,05-14,05-28
Pied-billed Grebe,03-10,03-31,04-25
Pileated Woodpecker,04-08,05-31,07-05
Pine Grosbeak,02-28,02-28,02-28
Pine Siskin,03-07,03-07,03-07
Pine Warbler,04-03,04-21,07-16
Piping Plover,05-08,05-14,05-20
Prairie Warbler,04-22,04-30,05-10
Prothonotary Warbler,04-22,04-30,05-06
Purple Finch,04-14,04-21,05-14
Purple Martin,04-08,05-21,08-27
Purple Sandpiper,02-28,02-28,02-28
Red-breasted Merganser,03-06,03-07,03-08
Red-breasted Nuthatch,05-07,05-07,05-07
Red-bellied Woodpecker,03-29,05-14,06-03
Red Crossbill,02-28,02-28,02-28
Redhead,02-20,02-28,03-09
Red Knot,05-15,05-21,05-29
Redpoll,02-28,02-28,02-28
Red-eyed Vireo,05-04,05-21,09-27
Red-headed Woodpecker,05-03,05-14,05-21
Red-necked Grebe,03-02,04-07,08-20
Red-shouldered Hawk,03-04,03-14,04-10
Red-tailed Hawk,02-20,03-14,03-19
Red-throated Loon,02-28,02-28,02-28
Red-winged Blackbird,02-24,04-30,08-23
Ring-billed Gull,02-24,03-14,05-03
Ring-necked Duck,03-07,03-21,04-05
Rose-breasted Grosbeak,04-25,05-14,07-20
Rock Pigeon,02-23,02-28,03-05
Rough-legged Hawk,02-28,02-28,02-28
Ross's Goose,03-14,03-14,03-14
Ruby-throated Hummingbird,05-01,05-21,09-28
Ruby-crowned Kinglet,04-09,04-21,05-12
Ruddy Duck,03-14,03-14,03-14
Ruddy Turnstone,05-12,05-21,05-31
Ruff,04-22,04-30,05-06
Ruffed Grouse,03-26,04-21,07-06
Rufous Hummingbird,02-28,02-28,02-28
Rusty Blackbird,03-06,04-14,05-07
Sandhill Crane,03-01,03-14,05-06
Sanderling,05-15,05-31,06-09
Savannah Sparrow,04-03,05-31,08-02
Scarlet Tanager,05-01,05-14,07-18
Sedge Wren,05-12,05-31,06-28
Semipalmated Plover,05-07,05-21,06-01
Semipalmated Sandpiper,05-10,05-21,06-06
Short-billed Dowitcher,05-01,05-14,05-28
Short-eared Owl,03-14,03-14,03-14
Sharp-shinned Hawk,03-26,04-21,04-29
Snow Bunting,02-28,02-28,02-28
Snowy Egret,05-08,05-14,05-20
Snow Goose,03-21,03-21,03-21
Snowy Owl,02-28,02-28,02-28
Solitary Sandpiper,04-20,05-07,05-20
Song Sparrow,03-06,05-14,10-31
Sora,04-01,04-30,06-09
Spotted Sandpiper,04-16,05-21,09-24
Spotted Towhee,02-28,02-28,02-28
Stilt Sandpiper,05-01,05-07,05-13
Summer Tanager,05-02,05-14,05-26
Surf Scoter,03-07,03-07,03-07
Swamp Sparrow,04-03,04-21,08-08
Swainson's Thrush,05-02,05-14,05-27
Tennessee Warbler,05-03,05-14,05-25
Townsend's Solitaire,02-28,02-28,02-28
Tree Swallow,03-26,05-31,08-13
Trumpeter Swan,03-14,03-14,03-14
Tufted Duck,02-28,02-28,02-28
Tufted Titmouse,05-31,05-31,05-31
Tundra Swan,02-20,03-07,03-20
Turkey Vulture,03-06,04-14,11-05
Upland Sandpiper,04-08,04-14,04-21
Veery,04-30,05-14,07-18
Vesper Sparrow,03-24,05-31,07-30
Virginia Rail,04-05,04-14,04-29
Warbling Vireo,04-25,05-14,09-11
Western Grebe,03-29,04-07,04-11
White-breasted Nuthatch,04-30,04-30,04-30
White-crowned Sparrow,04-21,05-07,05-19
White-eyed Vireo,05-14,05-21,06-05
Whimbrel,05-14,05-21,05-30
White-rumped Sandpiper,05-09,05-21,05-29
White-throated Sparrow,04-11,04-30,05-14
White-winged Crossbill,02-21,02-28,03-06
White-winged Scoter,02-26,03-07,03-10
Willow Flycatcher,05-10,05-31,06-30
Willet,03-22,03-31,04-06
Wilson's Phalarope,05-08,05-14,05-25
Wilson's Snipe,03-23,04-07,05-06
Wild Turkey,04-13,04-30,05-12
Winter Wren,04-03,04-14,04-29
Wilson's Warbler,05-06,05-14,05-27
Worm-eating Warbler,05-08,05-14,05-20
Wood Duck,02-27,04-21,11-02
Wood Thrush,04-25,05-21,07-21
American Coot,03-07,03-07,03-07
Iceland Gull,03-31,03-31,03-31
Yellow-breasted Chat,05-16,05-31,06-11
Yellow-billed Cuckoo,05-14,05-31,07-19
Yellow-bellied Flycatcher,05-08,05-21,06-04
Yellow-bellied Sapsucker,03-29,04-14,05-04
Yellow-headed Blackbird,04-01,04-07,04-13
Yellow Rail,05-01,05-07,05-13
Yellow Warbler,04-24,05-14,08-08
Yellow-rumped Warbler,04-12,04-30,05-19
Yellow-throated Vireo,05-01,05-21,07-18
Yellow-throated Warbler,02-28,02-28,02-28
